dataset,n_neighbors,p,weights,test_roc_auc,star_test_roc_auc,default_test_roc_auc
alzheimer,26,1,distance,0.7497277676950997,0.7497277676950997,0.6531987295825772
cancer,23,2,uniform,0.7832487348332419,0.7733065057008719,0.6981967562953478
diabetes,30,1,distance,0.8003582089552239,0.7991641791044776,0.6966567164179104
heart,24,1,distance,0.66936891509251,0.6630076412862185,0.6495287227027656
STAR,26,1,distance,,0.7463015234466668,
