dataset,ccp_alpha,max_depth,min_samples_leaf,min_samples_split,test_roc_auc,default_test_roc_auc
alzheimer,0.009182779384957656,23.0,1.0,43.0,0.8218088324258922,0.7362673926194796
cancer,0.0,25.0,19.0,2.0,0.8162307176391683,0.6591595024693617
diabetes,0.0,30.0,27.0,2.0,0.7527164179104477,0.6468059701492538
heart,0.0,20.0,22.0,60.0,0.773011132229161,0.6366704161979753
