dataset,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,cv_roc_auc,test_roc_auc
heart,0.46909356296798244,0.7549531688595925,1.1987642685433468,5.0,25.83107246311605,2071.0,0.12662434382125431,27.666815350407898,0.37401697993285554,0.5,0.6682246615724758
heart,0.8536495199979559,0.894983749642776,0.009871679072767706,14.0,66.20624525771561,313.0,0.006643553197618648,0.1313736598687076,0.6721561916912533,0.5,0.5
heart,0.5003492610710367,0.9268502695024393,0.002172317575011194,7.0,2.4892071659245056,2269.0,0.008425401080976913,32.696189995885675,0.6016063807304213,0.767667455734755,0.7974865210814166
heart,0.8311563895216271,0.2546844052569046,0.0933321443393548,12.0,12.652637928531286,478.0,34.679487104144975,175.16941226942794,0.9207359753561953,0.5885979292493528,0.7249912726426438
heart,0.8195980974464558,0.4942262677968311,0.0541393962176335,11.0,80.2797660628774,3585.0,0.349547748924183,8.031570020313513,0.41777546097517426,0.5,0.5
heart,0.7606252161870115,0.9454327638424945,0.0033998315079271793,4.0,48.62150415616877,1864.0,0.5666344740221539,1.619224699922767,0.8067555434282462,0.5,0.6574221325782553
heart,0.6553714226520847,0.7978279409450943,0.015084934591072068,13.0,17.732668202120195,2974.0,7.865563870926734,0.3395395929949125,0.7604942367419253,0.7333205386311512,0.8030720297893797
heart,0.5890627609212813,0.9280083037935848,0.043019475321926876,13.0,4.817951517559621,257.0,2.6676253308125464,0.0013964907191492126,0.44715663188619825,0.7570382661150564,0.7936852720996083
heart,0.9599301876789355,0.7305593001592294,0.751669938826941,7.0,6.3530675265639065,1058.0,0.000977389356827295,0.1665133499923576,0.634941022232247,0.689698273637014,0.6742562352119779
heart,0.10326727652926891,0.8360470176973764,0.27818377604776484,5.0,16.571707470587405,1374.0,0.07467587900293658,0.008098619589439575,0.9044542549472675,0.6862123625583505,0.6967534230634964
heart,0.3681990964433126,1.0,0.0011786116065613662,15.0,10.391886526981791,2146.0,9.796227177263459,0.003199668131213352,0.8915829375072509,0.7731431458006092,0.800550793219813
heart,0.5751146707354086,0.8422704558673968,0.001393207471415929,15.0,9.318071057048634,3651.0,100.02230407670409,0.04789518478320999,0.8646168566863377,0.5,0.5
heart,0.5702578870640493,0.9950569100207379,0.004051267519575781,2.0,35.819150330403964,252.0,60.13887627322268,0.6539214147941635,0.9733029814706837,0.5,0.5
heart,0.46511925419886635,0.9484438332861556,0.0101523170588398,12.0,5.586866062915628,4492.0,5.063989633803619,0.08775791464940844,0.5260425066336312,0.7566807150284286,0.7995422985919863
heart,0.28918938836332453,0.6887002447588589,0.005880881036796109,5.0,1.0,2140.0,3.642817767301852,0.0009765625,0.6483670179458875,0.7671916550518794,0.7956634731003452
heart,0.8827562721435723,0.41661537872104926,0.08803897403092882,9.0,1.0,91.0,0.15996971899291473,0.0009765625,0.11053907941440907,0.7191793691879973,0.7206469880920057
heart,0.1,0.11738716440400879,2.0,9.0,1.0,5000.0,0.03112346574668435,1024.0,0.49641082883370014,0.7464498204317014,0.7738256855824057
heart,0.1,0.10649166572029381,0.0019344964111162862,2.0,1.7577101000926267,338.0,0.00778981241993342,0.0009765625,0.8079321763563029,0.7264439208572082,0.7882161281563942
heart,0.1,1.0,0.0009765625,15.0,1.0,5000.0,1024.0,1024.0,1.0,0.5,0.5
heart,0.36601614158408824,0.6584200480835507,0.0948730945419946,3.0,1.0,3320.0,0.0053143964920757585,1024.0,0.8305901672517233,0.7580304270554485,0.7995810868469028
heart,0.37442822744410353,0.9237647247362728,0.0027686026324874693,15.0,6.31319122681663,1623.0,6.921883488546935,0.0009765625,0.7885396188218899,0.7695389113810167,0.8001629106706489
heart,0.1,0.9112797975498979,0.06995597774683793,15.0,1.0,1936.0,0.5610675489700623,1.0710465712419046,0.33718294843229824,0.727534752180999,0.7509018269268066
heart,0.804756921293143,0.7310910301151581,0.1994166546958569,15.0,1.0,2533.0,0.0074488873155380145,0.005420282778685899,0.5546692262488214,0.7020071089872644,0.7140917730111322
heart,0.8955098750006347,1.0,2.0,15.0,4.395429976553876,5000.0,0.04477179585325318,0.0009765625,0.42384081921224015,0.5749253703826611,0.5118110236220472
heart,1.0,0.1,0.03170345554751891,15.0,1.0,1.0,2.624247759503104,1.3156780347946715,1.0,0.5228621416930304,0.5120631472790039
heart,0.2676281745242598,0.8469088617573649,0.0009765625,15.0,9.847564421310903,1.0,7.336472776480801,0.0009765625,1.0,0.5,0.5
heart,0.23875034420316174,0.9681665082330743,0.017661110868436743,13.0,5.182032922655834,2692.0,6.38298368167363,2.59216510791071,0.6595916822532832,0.7690704851662573,0.7998526046313177
heart,0.47026167048604894,0.8435112424849363,0.24710655440091067,15.0,2.7128588556702566,1692.0,5.593771875883159,0.0009765625,0.33403633345895156,0.7407971800033922,0.7834063845467591
