dataset,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,cv_roc_auc,test_roc_auc,star_test_roc_auc,diff_from_star
heart,0.8333333333333333,0.6666666666666666,0.09287464307105926,10.0,28.395417264496608,1144.0,26.789388470197363,0.7659831786679867,0.8333333333333333,0.7957334709586223,0.8011907994259339,0.7933361778053605,-0.007854621620573377
heart,0.8888888888888888,0.7222222222222222,0.20508383900190938,10.0,15.622108075491552,230.0,1.3055116977098091,0.03732821303899783,0.8888888888888888,0.8000317037621212,0.768201388619526,0.7933361778053605,0.02513478918583445
heart,0.7777777777777778,0.5555555555555556,0.03755909528827044,3.0,3.723222215679941,1437.0,1.3055116977098091,2.225062952192973,0.5,0.808060087681484,0.7561770295954384,0.7933361778053605,0.037159148209922055
heart,1.0,0.6111111111111112,0.5071231934836635,9.0,9.685738607693846,931.0,0.044588655637913845,18.77536736007401,0.6111111111111112,0.7659690511643249,0.7124238780497266,0.7933361778053605,0.08091229975563385
heart,0.8333333333333333,0.7222222222222222,0.009659220269068186,9.0,7.6265706475730735,487.0,2.225062952192973,0.31498026247371824,0.5555555555555556,0.8092850998430045,0.7899615996276328,0.7933361778053605,0.003374578177727683
heart,1.0,0.9444444444444444,0.06613843200451852,7.0,1.126942411232332,1463.0,3.7923100573566844,0.0907764285071453,0.8888888888888888,0.796979576517009,0.7660292463442069,0.7933361778053605,0.027306931461153594
heart,0.6111111111111112,0.5,0.20508383900190938,4.0,2.3084053051719735,1511.0,0.03732821303899783,0.07599515647546923,0.7777777777777778,0.7695646384006968,0.7386447383732205,0.7933361778053605,0.05469143943213994
heart,1.0,0.6666666666666666,0.09287464307105926,4.0,19.840064730601398,1679.0,11.016075609554143,0.15471578566317848,0.6666666666666666,0.8042906275122348,0.7919785888832861,0.7933361778053605,0.001357588922074382
heart,0.8888888888888888,0.8333333333333333,0.3224946067247292,7.0,6.005177529385341,1872.0,0.6412569042179157,1.8627523686544305,1.0,0.7863845769601301,0.7506303091423917,0.7933361778053605,0.04270586866296877
heart,0.9444444444444444,0.9444444444444444,0.09287464307105926,3.0,17.605216143126537,1962.0,0.12952316514383383,1.8627523686544305,0.5,0.7619610649834054,0.729723439742446,0.7933361778053605,0.06361273806291445
heart,0.8888888888888888,0.8888888888888888,0.012112605663927412,5.0,6.767489244843735,491.0,13.158733350628646,13.158733350628646,0.5,0.8002935688731009,0.7930646600209458,0.7933361778053605,0.00027151778441469876
heart,0.7222222222222222,1.0,0.28798820549062376,11.0,25.196866300777266,234.0,0.12952316514383383,0.10843269959149042,0.5555555555555556,0.7650197418081174,0.7454326829835926,0.7933361778053605,0.04790349482176792
heart,0.5,0.8333333333333333,0.047098885587850976,10.0,1.6128979635153649,198.0,32.0,1.3055116977098091,0.6111111111111112,0.7768848122727038,0.7903106939218804,0.7933361778053605,0.003025483883480118
heart,0.5,0.6111111111111112,0.22965673851761886,5.0,1.0,1128.0,2.6578439649485035,0.31498026247371824,0.8333333333333333,0.8016877634590968,0.7550521702028625,0.7933361778053605,0.03828400760249795
heart,0.9444444444444444,1.0,0.40440634866864145,5.0,2.048379120497995,1364.0,7.720626645353454,0.05326127477678591,0.7222222222222222,0.7951519104260141,0.7597455490477483,0.7933361778053605,0.033590628757612206
heart,0.8333333333333333,0.8333333333333333,0.567886086046074,6.0,4.195857021292138,1283.0,0.0907764285071453,1.3055116977098091,0.5555555555555556,0.748996323808252,0.7000116364764749,0.7933361778053605,0.09332454132888557
heart,1.0,0.9444444444444444,0.0068785802223072495,6.0,32.0,1454.0,3.7923100573566844,2.225062952192973,0.8333333333333333,0.7956026067002686,0.7964004499437569,0.7933361778053605,-0.00306427213839644
