dataset,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,test_roc_auc,star_test_roc_auc,default_test_roc_auc
alzheimer,0.7777777777777778,0.5,0.00614258326569918,11.0,3.723222215679941,445.0,11.016075609554143,0.31498026247371824,1.0,0.8495916515426497,0.8527979431336963,0.8410012099213552
cancer,0.7222222222222222,1.0,0.06613843200451852,7.0,2.048379120497995,1735.0,9.222310278794142,5.411008231029584,0.7222222222222222,0.8512057191634655,0.8608926284982623,0.8160249375038109
diabetes,0.8333333333333333,0.9444444444444444,0.023884937268832684,9.0,12.300880266076668,1597.0,2.225062952192973,0.5368400098840593,0.6666666666666666,0.8103283582089552,0.8205373134328358,0.7504477611940299
heart,0.5555555555555556,0.8888888888888888,0.3224946067247292,3.0,3.723222215679941,694.0,18.77536736007401,0.07599515647546923,0.6666666666666666,0.7886427989604747,0.792250106667701,0.7613746557542376
STAR,0.7222222222222221,0.8333333333333334,0.10466513981594489,8.0,5.0,1118.0,10.309704050153815,1.5847059149657077,0.7638888888888888,,0.8316194979331238,
