dataset,ccp_alpha,max_depth,min_samples_leaf,min_samples_split,test_roc_auc,default_test_roc_auc
alzheimer,0.005873895071044209,25.0,1.0,2.0,0.8656382335148215,0.7073049001814883
cancer,0.00015577184693143167,16.0,60.0,7.0,0.8319043046155723,0.7010167062983965
diabetes,0.004157315303370506,30.0,36.0,2.0,0.825134328358209,0.7134328358208956
heart,0.004503876622624075,30.0,46.0,2.0,0.7897870524805088,0.6435747255730964
