dataset,n_neighbors,p,weights,test_roc_auc,default_test_roc_auc
alzheimer,30,1,distance,0.7557622504537205,0.6397761645493043
cancer,30,2,uniform,0.7853979940247546,0.7016569111639535
diabetes,30,1,uniform,0.8194626865671641,0.7087164179104477
heart,14,1,distance,0.6873860595011829,0.6668088902680268
