dataset,ccp_alpha,max_depth,min_samples_leaf,min_samples_split,test_roc_auc,star_test_roc_auc,default_test_roc_auc
alzheimer,0.0005061583846218687,14.0,18.0,3.0,0.8670901391409559,0.8665834845735028,0.7073049001814883
cancer,0.0005061583846218687,14.0,18.0,3.0,0.8141309981098713,0.7837212669959149,0.7010167062983965
diabetes,0.005147875124998935,5.0,32.0,34.0,0.825134328358209,0.8211940298507463,0.7134328358208956
heart,0.006505159298527952,4.0,25.0,15.0,0.7897870524805088,0.7852100384003724,0.6435747255730964
STAR,0.003166337798192656,9.0,23.0,14.0,,0.8141772049551341,
