dataset,n_neighbors,p,weights,test_roc_auc,default_test_roc_auc
alzheimer,30,1,distance,0.7535390199637023,0.6769131881427708
cancer,30,2,distance,0.7803563807084934,0.7351952624839949
diabetes,27,1,uniform,0.8125373134328358,0.7127761194029851
heart,19,1,distance,0.6845739110197432,0.6698537682789651
