dataset,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,cv_roc_auc,test_roc_auc,star_test_roc_auc,diff_from_star
heart,0.8333333333333333,0.6666666666666666,0.09287464307105926,10.0,28.395417264496608,1144.0,26.789388470197363,0.7659831786679867,0.8333333333333333,0.7674504563796759,0.8064078197121912,0.8035956712307513,-0.0028121484814399578
heart,0.8888888888888888,0.7222222222222222,0.20508383900190938,10.0,15.622108075491552,230.0,1.3055116977098091,0.03732821303899783,0.8888888888888888,0.7529679636757677,0.7578837128117606,0.8035956712307513,0.04571195841899067
heart,0.7777777777777778,0.5555555555555556,0.03755909528827044,3.0,3.723222215679941,1437.0,1.3055116977098091,2.225062952192973,0.5,0.7644828250998851,0.7552073232225283,0.8035956712307513,0.048388348008223
heart,1.0,0.6111111111111112,0.5071231934836635,9.0,9.685738607693846,931.0,0.044588655637913845,18.77536736007401,0.6111111111111112,0.7219820107297421,0.7004770955354719,0.8035956712307513,0.10311857569527938
heart,0.8333333333333333,0.7222222222222222,0.009659220269068186,9.0,7.6265706475730735,487.0,2.225062952192973,0.31498026247371824,0.5555555555555556,0.7800569061912075,0.7908149412357939,0.8035956712307513,0.012780729994957385
heart,1.0,0.9444444444444444,0.06613843200451852,7.0,1.126942411232332,1463.0,3.7923100573566844,0.0907764285071453,0.8888888888888888,0.7661694022855546,0.7674644117761141,0.8035956712307513,0.03613125945463713
heart,0.6111111111111112,0.5,0.20508383900190938,4.0,2.3084053051719735,1511.0,0.03732821303899783,0.07599515647546923,0.7777777777777778,0.7474947315237697,0.7069547341065126,0.8035956712307513,0.09664093712423871
heart,1.0,0.6666666666666666,0.09287464307105926,4.0,19.840064730601398,1679.0,11.016075609554143,0.15471578566317848,0.6666666666666666,0.7690346556045287,0.7951592257864318,0.8035956712307513,0.00843644544431943
heart,0.8888888888888888,0.8333333333333333,0.3224946067247292,7.0,6.005177529385341,1872.0,0.6412569042179157,1.8627523686544305,1.0,0.757649428611316,0.7387611031379698,0.8035956712307513,0.06483456809278143
heart,0.9444444444444444,0.9444444444444444,0.09287464307105926,3.0,17.605216143126537,1962.0,0.12952316514383383,1.8627523686544305,0.5,0.7161843601045053,0.7207245646018385,0.8035956712307513,0.08287110662891273
heart,0.8888888888888888,0.8888888888888888,0.012112605663927412,5.0,6.767489244843735,491.0,13.158733350628646,13.158733350628646,0.5,0.7838468851173025,0.7955858965905124,0.8035956712307513,0.008009774640238887
heart,0.7222222222222222,1.0,0.28798820549062376,11.0,25.196866300777266,234.0,0.12952316514383383,0.10843269959149042,0.5555555555555556,0.7051315290879718,0.7274931150847522,0.8035956712307513,0.07610255614599903
heart,0.5,0.8333333333333333,0.047098885587850976,10.0,1.6128979635153649,198.0,32.0,1.3055116977098091,0.6111111111111112,0.7336417967996915,0.7894961405686357,0.8035956712307513,0.014099530662115556
heart,0.5,0.6111111111111112,0.22965673851761886,5.0,1.0,1128.0,2.6578439649485035,0.31498026247371824,0.8333333333333333,0.7683957905373513,0.7530739692021257,0.8035956712307513,0.050521702028625604
heart,0.9444444444444444,1.0,0.40440634866864145,5.0,2.048379120497995,1364.0,7.720626645353454,0.05326127477678591,0.7222222222222222,0.7736729090631088,0.7608704084403242,0.8035956712307513,0.0427252627904271
heart,0.8333333333333333,0.8333333333333333,0.567886086046074,6.0,4.195857021292138,1283.0,0.0907764285071453,1.3055116977098091,0.5555555555555556,0.7170731869461453,0.7024552965362089,0.8035956712307513,0.1011403746945424
heart,1.0,0.9444444444444444,0.0068785802223072495,6.0,32.0,1454.0,3.7923100573566844,2.225062952192973,0.8333333333333333,0.7465361015270272,0.7950040727667662,0.8035956712307513,0.00859159846398505
heart,0.5,0.5,0.07406305956992351,11.0,9.685738607693846,1072.0,0.044588655637913845,26.789388470197363,0.7777777777777778,0.7617106426543814,0.7593188782436678,0.8035956712307513,0.044276792987083424
heart,0.8888888888888888,0.9444444444444444,0.22965673851761886,3.0,8.594705915009728,1357.0,1.8627523686544305,0.37624481090234907,0.7777777777777778,0.7537670436037043,0.7234009541910709,0.8035956712307513,0.0801947170396804
heart,0.8888888888888888,0.9444444444444444,0.8930016176563254,3.0,19.840064730601398,663.0,0.2207542044379121,26.789388470197363,0.5555555555555556,0.6995000764510747,0.7026492378107909,0.8035956712307513,0.10094643341996035
heart,0.6111111111111112,0.5,0.22965673851761886,3.0,15.622108075491552,1204.0,0.03732821303899783,0.03732821303899783,0.7777777777777778,0.7217932098149884,0.7109887126178192,0.8035956712307513,0.09260695861293211
heart,0.8333333333333333,0.7222222222222222,0.13041886637087732,3.0,1.0,1526.0,0.03732821303899783,2.6578439649485035,0.7777777777777778,0.7579558977018143,0.7508824327993485,0.8035956712307513,0.05271323843140274
heart,0.8333333333333333,0.6666666666666666,0.012112605663927412,10.0,22.358610386509486,500.0,22.427229206473235,1.8627523686544305,0.7222222222222222,0.772163498933009,0.7978162212482061,0.8035956712307513,0.005779449982545204
heart,0.6666666666666666,0.5555555555555556,0.0068785802223072495,8.0,3.30382651195861,1634.0,0.4494254865977708,9.222310278794142,0.9444444444444444,0.7740897336178644,0.782902137232846,0.8035956712307513,0.0206935339979053
heart,0.7777777777777778,0.6111111111111112,0.033540332850133574,6.0,8.594705915009728,1469.0,0.044588655637913845,0.7659831786679867,0.6666666666666666,0.7555300718640103,0.7386447383732206,0.8035956712307513,0.06495093285753062
heart,0.8333333333333333,0.6666666666666666,0.36113552355158474,3.0,2.3084053051719735,1763.0,26.789388470197363,0.6412569042179157,0.8888888888888888,0.7852389594676346,0.7939373957565649,0.8035956712307513,0.009658275474186406
heart,0.5,0.9444444444444444,0.05906172676928791,4.0,13.862383667332647,1538.0,5.411008231029584,13.158733350628646,0.8333333333333333,0.7733657751806572,0.78026453589853,0.8035956712307513,0.02333113533222131
heart,1.0,0.9444444444444444,0.8930016176563254,4.0,1.0,1427.0,0.2207542044379121,0.06362074277108691,0.7222222222222222,0.7267020335985853,0.7100965827547417,0.8035956712307513,0.09349908847600952
heart,0.8333333333333333,0.9444444444444444,0.36113552355158474,5.0,8.594705915009728,915.0,0.4494254865977708,0.044588655637913845,0.6666666666666666,0.7330886898944975,0.7210736588960863,0.8035956712307513,0.08252201233466494
heart,0.8888888888888888,0.7777777777777778,0.14604549845403467,10.0,9.685738607693846,686.0,0.10843269959149042,15.718144058740227,0.7777777777777778,0.7574912081264168,0.7469842131802491,0.8035956712307513,0.05661145805050216
heart,0.8888888888888888,0.6666666666666666,0.18314019998387457,11.0,1.2699991982341425,252.0,4.52992504739022,0.6412569042179157,0.5555555555555556,0.7693411246950267,0.7721965788759164,0.8035956712307513,0.031399092354834846
heart,0.5555555555555556,0.7777777777777778,0.18314019998387457,11.0,1.431215958721113,260.0,0.05326127477678591,9.222310278794142,0.7222222222222222,0.7593486368440996,0.7545091346340328,0.8035956712307513,0.049086536596718466
heart,0.6666666666666666,0.8888888888888888,0.008625699325576656,9.0,1.2699991982341425,500.0,9.222310278794142,0.2207542044379121,0.6111111111111112,0.7891346403143136,0.7946549784725185,0.8035956712307513,0.008940692758232727
heart,0.7777777777777778,0.8333333333333333,0.04205938101976114,8.0,1.8176431200757233,1488.0,0.10843269959149042,3.174802103936398,0.5555555555555556,0.7639749240475193,0.7530739692021254,0.8035956712307513,0.050521702028625826
heart,0.7222222222222222,0.5,0.08293720650170974,3.0,1.6128979635153649,1119.0,0.7659831786679867,0.05326127477678591,0.6111111111111112,0.7654999567885231,0.7472169427097475,0.8035956712307513,0.056378728521003785
heart,0.5,0.5,0.5071231934836635,7.0,1.8176431200757233,198.0,18.77536736007401,1.8627523686544305,0.5,0.7547027382780559,0.7916488887164965,0.8035956712307513,0.011946782514254739
heart,0.7222222222222222,0.6111111111111112,0.14604549845403467,6.0,28.395417264496608,1080.0,7.720626645353454,1.5594374008644958,0.5,0.677232869973342,0.7268531088786316,0.8035956712307513,0.07674256235211963
heart,0.6111111111111112,0.5555555555555556,0.05906172676928791,8.0,19.840064730601398,1446.0,32.0,1.8627523686544305,0.5555555555555556,0.7013578375647342,0.7994647220821535,0.8035956712307513,0.004130949148597796
heart,0.7777777777777778,0.8333333333333333,0.00437429218801632,4.0,19.840064730601398,884.0,32.0,9.222310278794142,0.9444444444444444,0.7776360662930537,0.7980877390326209,0.8035956712307513,0.005507932198130394
heart,0.7777777777777778,0.8333333333333333,0.09287464307105926,9.0,19.840064730601398,1990.0,2.225062952192973,1.8627523686544305,1.0,0.7638738756706089,0.7775493580543813,0.8035956712307513,0.026046313176369962
heart,0.8333333333333333,0.9444444444444444,0.20508383900190938,6.0,1.0,1899.0,0.4494254865977708,0.31498026247371824,0.6111111111111112,0.7572326040565606,0.7391101974322175,0.8035956712307513,0.06448547379853375
heart,0.8333333333333333,0.5555555555555556,0.00437429218801632,9.0,12.300880266076668,150.0,2.225062952192973,1.3055116977098091,1.0,0.7752963310132095,0.7977580388658314,0.8035956712307513,0.005837632364919854
heart,1.0,0.7777777777777778,0.8930016176563254,6.0,2.931672886767848,937.0,0.37624481090234907,18.77536736007401,0.5,0.7459391183529115,0.7140529847562158,0.8035956712307513,0.08954268647453545
heart,0.8888888888888888,0.7222222222222222,0.5071231934836635,7.0,2.048379120497995,1319.0,0.07599515647546923,7.720626645353454,0.6666666666666666,0.7489592681970177,0.7200263760133432,0.8035956712307513,0.08356929521740808
heart,0.6111111111111112,0.8333333333333333,0.3224946067247292,6.0,6.005177529385341,368.0,5.411008231029584,0.7659831786679867,0.5,0.7609215346057452,0.7608704084403243,0.8035956712307513,0.04272526279042699
