dataset,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,test_roc_auc,default_test_roc_auc
alzheimer,0.5623842048365102,1.0,0.006492650556556472,5.0,5.266193550674133,100.0,0.03125,0.03125,0.6278622393772904,0.8693284936479129,0.8481397459165156
cancer,0.9192837880147213,1.0,1.0,4.0,32.0,2000.0,32.0,8.976093015656529,0.7985316191963691,0.866654472288275,0.8260891104200964
diabetes,0.8363361837314895,0.8770510820338543,0.09620520296316923,3.0,1.0,862.0,9.027815736193546,32.0,0.5032370037838271,0.8302089552238806,0.7940298507462686
heart,0.5339572432377074,0.5908736884356977,0.21206670957454102,9.0,18.60651972787815,1865.0,31.507085796060498,32.0,0.5,0.8033241534463366,0.7682401768744425
