dataset,ccp_alpha,max_depth,min_samples_leaf,min_samples_split,test_roc_auc,star_test_roc_auc,default_test_roc_auc
alzheimer,0.009310276780589922,12.0,5.0,38.0,0.8574712643678162,0.8628629764065336,0.7300362976406534
cancer,0.0005061583846218687,14.0,18.0,3.0,0.8176749893299189,0.7844491189561612,0.7019160417047742
diabetes,0.0005061583846218687,14.0,18.0,3.0,0.8048955223880597,0.7934328358208955,0.6801194029850747
heart,0.0005061583846218687,14.0,18.0,3.0,0.7868197509794035,0.7757069159458516,0.6844381521275359
STAR,0.002707187983613882,14.0,15.0,12.0,,0.8041129617823605,
