dataset,n_neighbors,p,weights,cv_roc_auc,test_roc_auc
heart,13,2,distance,0.6481777320560755,0.663434312090299
heart,25,2,uniform,0.65535515438449,0.6484232574376477
heart,14,2,uniform,0.6566522495814989,0.6554439315775182
heart,25,1,distance,0.6677285900754409,0.6669640432876924
heart,24,1,distance,0.6659257907273438,0.66936891509251
heart,22,2,uniform,0.6697977552119054,0.6589348745199953
heart,19,2,uniform,0.6548419651482636,0.6510220705170474
heart,17,2,uniform,0.647108636977058,0.6543966486947753
heart,29,2,distance,0.6647223512754141,0.6651022070517048
heart,1,2,distance,0.5805388155129311,0.5864590202086808
heart,30,1,uniform,0.6602053789370441,0.6587797215003297
heart,30,1,distance,0.6653608327249397,0.6653737248361198
heart,22,1,distance,0.6577642087564435,0.6696792211318412
heart,10,1,uniform,0.6472767564139437,0.6422171366510222
heart,8,2,distance,0.6471700109879575,0.661456111089562
heart,27,1,uniform,0.6711255650686194,0.6542608898025677
heart,27,1,distance,0.6710170497702853,0.6620767231682247
heart,30,2,uniform,0.6602444083095507,0.6551918079205616
heart,27,2,uniform,0.6546574375198188,0.6540087661456111
heart,15,1,uniform,0.6502102092136606,0.6419650129940653
heart,24,1,uniform,0.6621261882111753,0.6660331251696987
heart,6,1,uniform,0.6169838978488676,0.6400062061207865
heart,22,2,distance,0.6686141530792091,0.6640161359140453
heart,28,1,distance,0.6686923224412439,0.6672743493270238
heart,10,2,uniform,0.6451763972773463,0.6461153562701214
heart,19,1,distance,0.6525460351172173,0.6611070167953144
heart,21,2,distance,0.6679080846293961,0.6656452426205345
heart,13,1,uniform,0.6516949108795528,0.6443310965439666
heart,23,2,distance,0.66691186773154,0.6628524882665529
heart,26,1,distance,0.669200939507238,0.6630076412862185
heart,21,2,uniform,0.6677180998945451,0.6611264109227726
heart,30,2,distance,0.6654113109591971,0.6633179473255498
heart,15,2,distance,0.6588568836972634,0.6621930879329739
heart,5,2,distance,0.6115425912406067,0.6616888406190606
heart,17,1,distance,0.6506207458537053,0.6615336875993948
heart,11,1,distance,0.6475556219257685,0.6590512392847446
heart,8,1,distance,0.63618953857953,0.6708428687793335
heart,1,1,uniform,0.582954801884914,0.5677436872115124
heart,20,1,uniform,0.653610723951535,0.6622512703153485
heart,26,1,uniform,0.6700001659255326,0.6560063612738063
heart,14,1,distance,0.6530136501404836,0.6535433070866142
heart,29,1,uniform,0.6622100174774894,0.6606221636088592
heart,26,2,distance,0.6633481928865881,0.6612233815600637
heart,18,2,distance,0.6494989417638253,0.6617276288739768
heart,7,2,uniform,0.6334764901956447,0.656820914627051
heart,18,1,uniform,0.6502178233519907,0.6590318451572863
heart,22,1,uniform,0.6531720352794554,0.6665761607385284
heart,4,1,distance,0.615301210150218,0.6362049571389784
heart,28,2,distance,0.6694844509339763,0.6670028315426089
heart,23,2,uniform,0.6663137430587818,0.6573639501958807
heart,24,2,distance,0.6655346120661048,0.6640937124238779
heart,20,2,distance,0.662790904331025,0.6606415577363175
heart,12,2,uniform,0.6411404983665554,0.6479771925061091
heart,10,2,distance,0.6455158071724078,0.6576742562352119
heart,3,2,uniform,0.6091434370920996,0.6432256312788488
heart,27,2,distance,0.6636853535688738,0.6623482409526396
heart,29,1,distance,0.6655109031511103,0.6660331251696986
heart,28,1,uniform,0.667811220990686,0.662212482060432
heart,25,1,uniform,0.6656319181729018,0.6619409642760172
heart,21,1,distance,0.6559282243018222,0.6661882781893642
heart,29,2,uniform,0.6571614197326019,0.6583142624413325
heart,15,2,uniform,0.6620123632957974,0.65542453745006
heart,16,2,distance,0.6502738140011652,0.6649858422869556
heart,9,2,uniform,0.6564276417188409,0.6434195725534309
heart,23,1,distance,0.6581961682263666,0.6675070788565222
