dataset,n_neighbors,p,weights,test_roc_auc,default_test_roc_auc
alzheimer,26,1,distance,0.7497277676950997,0.6531987295825772
cancer,29,2,uniform,0.784258581793793,0.6981967562953478
diabetes,23,1,uniform,0.801910447761194,0.6966567164179104
heart,8,1,distance,0.6708428687793335,0.6495287227027656
