dataset,ccp_alpha,max_depth,min_samples_leaf,min_samples_split,test_roc_auc,star_test_roc_auc,default_test_roc_auc
alzheimer,0.0065051592985279,4.0,25.0,15.0,0.8624092558983667,0.8669691470054447,0.7159104658197217
cancer,0.0005061583846218,14.0,18.0,3.0,0.806296109993293,0.7789807023961953,0.7024647887323944
diabetes,0.0005061583846218,14.0,18.0,3.0,0.7952238805970149,0.7845970149253731,0.7041194029850747
heart,0.0065051592985279,4.0,25.0,15.0,0.7858112563515767,0.7687832124432723,0.6499747876343043
STAR,0.0035056588415749105,9.0,22.0,9.0,,0.7998325191925714,
