dataset,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,test_roc_auc,star_test_roc_auc,default_test_roc_auc
alzheimer,0.8333333333333333,0.6666666666666666,0.012112605663927412,10.0,22.358610386509486,500.0,22.427229206473235,1.8627523686544305,0.7222222222222222,0.8647610405323655,0.8553539019963702,0.8481397459165156
cancer,0.5555555555555556,0.8888888888888888,0.3224946067247292,3.0,3.723222215679941,694.0,18.77536736007401,0.07599515647546923,0.6666666666666666,0.8674623498567161,0.8625236266081335,0.8260891104200964
diabetes,0.9444444444444444,1.0,0.7121258270022673,11.0,12.300880266076668,338.0,5.411008231029584,0.5368400098840593,1.0,0.8324179104477611,0.806865671641791,0.7940298507462686
heart,1.0,0.6666666666666666,0.08293720650170974,10.0,28.395417264496608,994.0,26.789388470197363,0.03125,0.6111111111111112,0.8020247469066366,0.7933361778053605,0.7682401768744425
STAR,0.8333333333333333,0.8055555555555555,0.28241756147315844,8.0,17.0,632.0,18.350748316943548,0.6267093837534898,0.75,,0.8295198445129137,
