dataset,n_neighbors,p,weights,cv_roc_auc,test_roc_auc
diabetes,30,1,uniform,0.7886590804969413,0.8194626865671641
diabetes,18,1,distance,0.7852650443312583,0.7955223880597015
diabetes,8,1,distance,0.7766155307623899,0.7588059701492538
diabetes,1,1,uniform,0.6798752930713882,0.6382686567164179
diabetes,10,1,uniform,0.7727996402296063,0.7789253731343284
diabetes,30,2,distance,0.7927086533538146,0.7902089552238806
diabetes,6,2,uniform,0.7807038092543186,0.7225671641791045
diabetes,21,2,distance,0.7869064462230846,0.785134328358209
diabetes,5,1,distance,0.7586810103215027,0.7132537313432836
diabetes,16,2,distance,0.7808866251650632,0.7768955223880598
diabetes,8,2,uniform,0.7670206766917295,0.7511044776119403
diabetes,27,1,distance,0.7901960209663945,0.8152835820895522
diabetes,14,1,distance,0.7845951572479586,0.7753432835820896
diabetes,21,1,distance,0.7872881801277387,0.8071044776119403
diabetes,28,1,uniform,0.7868970140404776,0.8191044776119403
diabetes,7,1,uniform,0.7626125124639556,0.7525970149253731
diabetes,6,2,distance,0.7920998396528957,0.7207164179104477
diabetes,12,1,distance,0.7815388942787076,0.7754029850746269
diabetes,30,2,uniform,0.7834693251947071,0.791223880597015
diabetes,29,1,distance,0.7905440685045949,0.8149253731343283
diabetes,16,1,distance,0.7849923868811814,0.7891940298507463
diabetes,24,2,distance,0.7869629719459941,0.792179104477612
diabetes,20,1,uniform,0.7757122645322985,0.8050746268656717
diabetes,27,2,distance,0.7837151346107204,0.7924776119402985
diabetes,5,2,distance,0.7835888107365188,0.7130149253731343
diabetes,18,2,distance,0.7846935888107366,0.7828656716417911
diabetes,23,1,uniform,0.7783796520872073,0.813134328358209
diabetes,10,2,distance,0.7791309928045921,0.7669253731343283
diabetes,10,1,distance,0.7832109507640068,0.7702686567164179
diabetes,15,1,uniform,0.7743806087800145,0.7817910447761195
diabetes,26,1,uniform,0.7801402700299134,0.8155223880597016
diabetes,22,1,distance,0.7852943514700731,0.8094328358208956
diabetes,7,2,distance,0.7871683577222627,0.7377910447761193
diabetes,19,1,distance,0.7854040342792465,0.7943880597014925
diabetes,23,2,distance,0.7874506831595116,0.7853134328358209
diabetes,13,1,uniform,0.7747998692968981,0.7857910447761194
diabetes,11,2,uniform,0.7617333993586116,0.775223880597015
diabetes,20,2,distance,0.78699578246692,0.7857313432835822
diabetes,3,2,uniform,0.7625785902929366,0.7088955223880598
