dataset,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,test_roc_auc,star_test_roc_auc,default_test_roc_auc
alzheimer,0.9444444444444444,1.0,0.7121258270022673,11.0,12.300880266076668,338.0,5.411008231029584,0.5368400098840593,1.0,0.8636418632788869,0.8555807622504537,0.8446309739866908
cancer,0.7222222222222222,1.0,0.06613843200451852,7.0,2.048379120497995,1735.0,9.222310278794142,5.411008231029584,0.7222222222222222,0.8626912993110176,0.8269770135967318,0.8132888238522041
diabetes,1.0,0.5555555555555556,0.004898414629411993,4.0,3.723222215679941,1177.0,0.06362074277108691,5.411008231029584,0.9444444444444444,0.8243582089552239,0.7957014925373134,0.7866268656716418
heart,0.8333333333333333,0.7222222222222222,0.009659220269068186,9.0,7.6265706475730735,487.0,2.225062952192973,0.31498026247371824,0.5555555555555556,0.8057872076335285,0.7739032620922385,0.7759590396028082
STAR,0.875,0.8194444444444444,0.1982054734763165,8.0,6.0,934.0,4.230500551196947,2.918459183604236,0.8055555555555556,,0.8130406326191844,
