dataset,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,test_roc_auc,default_test_roc_auc
alzheimer,0.6523708296825047,1.0,0.00390625,3.0,1.0,1960.0,5.100848187332569,26.076081604388804,1.0,0.8563823351482154,0.8410012099213552
cancer,0.8532860243577924,0.5734092359133665,0.011312080751310632,3.0,2.867268656090523,100.0,0.03125,0.07590713133643016,0.5,0.8511676117309921,0.8160249375038109
diabetes,0.5,0.5,0.00390625,12.0,8.026477990319686,100.0,0.03125,4.313471029959636,0.5,0.8223880597014925,0.7504477611940299
heart,1.0,1.0,0.00390625,5.0,7.150955822281204,100.0,0.10419156579918362,32.0,0.5,0.7808657538497343,0.7613746557542376
