dataset,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,cv_roc_auc,test_roc_auc,star_test_roc_auc,diff_from_star
heart,0.833333333,0.666666667,0.092874643,10,28.39541726,1144,26.78938847,0.765983179,0.833333333,0.5,0.5,0.792250107,0.292250107
heart,0.888888889,0.722222222,0.205083839,10,15.62210808,230,1.305511698,0.037328213,0.888888889,0.683633277,0.71060083,0.792250107,0.081649277
heart,0.777777778,0.555555556,0.037559095,3,3.723222216,1437,1.305511698,2.225062952,0.5,0.69992077,0.744269035,0.792250107,0.047981071
heart,1,0.611111111,0.507123193,9,9.685738608,931,0.044588656,18.77536736,0.611111111,0.670311262,0.650944494,0.792250107,0.141305613
heart,0.833333333,0.722222222,0.00965922,9,7.626570648,487,2.225062952,0.314980262,0.555555556,0.727096774,0.750475156,0.792250107,0.041774951
heart,1,0.944444444,0.066138432,7,1.126942411,1463,3.792310057,0.090776429,0.888888889,0.760498019,0.762421939,0.792250107,0.029828168
heart,0.611111111,0.5,0.205083839,4,2.308405305,1511,0.037328213,0.075995156,0.777777778,0.650288625,0.721810636,0.792250107,0.070439471
heart,1,0.666666667,0.092874643,4,19.84006473,1679,11.01607561,0.154715786,0.666666667,0.5,0.665373725,0.792250107,0.126876382
heart,0.888888889,0.833333333,0.322494607,7,6.005177529,1872,0.641256904,1.862752369,1,0.662184493,0.737907762,0.792250107,0.054342345
heart,0.944444444,0.944444444,0.092874643,3,17.60521614,1962,0.129523165,1.862752369,0.5,0.5,0.5,0.792250107,0.292250107
heart,0.888888889,0.888888889,0.012112606,5,6.767489245,491,13.15873335,13.15873335,0.5,0.716757216,0.771091114,0.792250107,0.021158993
heart,0.722222222,1,0.287988205,11,25.1968663,234,0.129523165,0.1084327,0.555555556,0.5,0.5,0.792250107,0.292250107
heart,0.5,0.833333333,0.047098886,10,1.612897964,198,32,1.305511698,0.611111111,0.5,0.5,0.792250107,0.292250107
heart,0.5,0.611111111,0.229656739,5,1,1128,2.657843965,0.314980262,0.833333333,0.72688172,0.758969784,0.792250107,0.033280323
heart,0.944444444,1,0.404406349,5,2.04837912,1364,7.720626645,0.053261275,0.722222222,0.752529711,0.745510259,0.792250107,0.046739847
heart,0.833333333,0.833333333,0.567886086,6,4.195857021,1283,0.090776429,1.305511698,0.555555556,0.628058857,0.66102944,0.792250107,0.131220666
heart,1,0.944444444,0.00687858,6,32,1454,3.792310057,2.225062952,0.833333333,0.5,0.5,0.792250107,0.292250107
heart,0.5,0.5,0.07406306,11,9.685738608,1072,0.044588656,26.78938847,0.777777778,0.718211658,0.717349986,0.792250107,0.07490012
heart,0.888888889,0.944444444,0.229656739,3,8.594705915,1357,1.862752369,0.376244811,0.777777778,0.673684211,0.711570536,0.792250107,0.08067957
heart,0.888888889,0.944444444,0.893001618,3,19.84006473,663,0.220754204,26.78938847,0.555555556,0.5,0.5,0.792250107,0.292250107
heart,0.611111111,0.5,0.229656739,3,15.62210808,1204,0.037328213,0.037328213,0.777777778,0.645263158,0.655657267,0.792250107,0.13659284
heart,0.833333333,0.722222222,0.130418866,3,1,1526,0.037328213,2.657843965,0.777777778,0.666938314,0.747294519,0.792250107,0.044955587
heart,0.833333333,0.666666667,0.012112606,10,22.35861039,500,22.42722921,1.862752369,0.722222222,0.5,0.5,0.792250107,0.292250107
heart,0.666666667,0.555555556,0.00687858,8,3.303826512,1634,0.449425487,9.222310279,0.944444444,0.734680249,0.761452232,0.792250107,0.030797874
heart,0.777777778,0.611111111,0.033540333,6,8.594705915,1469,0.044588656,0.765983179,0.666666667,0.699626486,0.720530623,0.792250107,0.071719483
heart,0.833333333,0.666666667,0.361135524,3,2.308405305,1763,26.78938847,0.641256904,0.888888889,0.5,0.5,0.792250107,0.292250107
