dataset,n_neighbors,p,weights,cv_roc_auc,test_roc_auc,star_test_roc_auc,diff_from_star
heart,28,1,uniform,0.6750457044467933,0.6644815949730422,0.6755362476242194,0.011054652651177221
heart,8,2,distance,0.6401211915730972,0.6782126372134518,0.6755362476242194,-0.002676389589232442
heart,1,2,uniform,0.5799432267671831,0.6051743532058493,0.6755362476242194,0.07036189441837004
heart,23,2,distance,0.673571195894245,0.6695240681121756,0.6755362476242194,0.006012179512043803
heart,5,1,distance,0.6456901537663788,0.6656064543656182,0.6755362476242194,0.009929793258601216
heart,8,2,uniform,0.6402651190309994,0.6632597649431752,0.6755362476242194,0.012276482681044198
heart,3,1,uniform,0.6372217014685255,0.6466002094565765,0.6755362476242194,0.028936038167642897
heart,5,1,distance,0.6456901537663788,0.6656064543656182,0.6755362476242194,0.009929793258601216
heart,3,1,uniform,0.6372217014685255,0.6466002094565765,0.6755362476242194,0.028936038167642897
heart,26,1,uniform,0.6690100583022544,0.6674295023466895,0.6755362476242194,0.008106745277529859
heart,14,1,uniform,0.6633383857521788,0.6805787207633529,0.6755362476242194,-0.00504247313913353
heart,9,1,uniform,0.6374247954102764,0.6706295333772933,0.6755362476242194,0.004906714246926125
heart,26,2,distance,0.6718380832718401,0.6697955858965904,0.6755362476242194,0.005740661727628993
heart,13,1,uniform,0.6602072156518617,0.6779411194290369,0.6755362476242194,-0.002404871804817521
heart,7,1,distance,0.6511494252873563,0.6721228811915751,0.6755362476242194,0.003413366432644227
heart,29,2,distance,0.6765607653084967,0.6707265040145844,0.6755362476242194,0.004809743609634931
heart,30,1,uniform,0.678277922924021,0.6651797835615376,0.6755362476242194,0.010356464062681758
heart,7,1,uniform,0.6460385047499384,0.661630658236686,0.6755362476242194,0.01390558938753339
heart,11,1,distance,0.6549882664220232,0.6840696637058298,0.6755362476242194,-0.008533416081610401
heart,13,2,uniform,0.665317803793303,0.657965168147085,0.6755362476242194,0.01757107947713432
heart,27,1,distance,0.676943685473631,0.6739459291726465,0.6755362476242194,0.0015903184515728697
heart,28,2,distance,0.6739188820858513,0.6657228191303673,0.6755362476242194,0.009813428493852028
heart,13,2,uniform,0.665317803793303,0.657965168147085,0.6755362476242194,0.01757107947713432
heart,21,2,distance,0.6716386456858326,0.6720840929366588,0.6755362476242194,0.003452154687560549
heart,28,2,distance,0.6739188820858513,0.6657228191303673,0.6755362476242194,0.009813428493852028
heart,20,2,distance,0.6680188534997973,0.668050114425352,0.6755362476242194,0.007486133198867373
heart,11,2,distance,0.6535602933062098,0.6800162910670648,0.6755362476242194,-0.004480043442845472
heart,23,2,uniform,0.6753867427188662,0.6600985221674877,0.6755362476242194,0.015437725456731721
heart,7,2,uniform,0.6334470127573576,0.6629494589038439,0.6755362476242194,0.012586788720375441
heart,1,1,uniform,0.5871425912260758,0.6041658585780225,0.6755362476242194,0.07137038904619686
heart,30,1,distance,0.6824714305658045,0.6725107637407393,0.6755362476242194,0.003025483883480118
heart,13,1,uniform,0.6602072156518617,0.6779411194290369,0.6755362476242194,-0.002404871804817521
heart,7,2,distance,0.6334948777779994,0.6772817190954579,0.6755362476242194,-0.0017454714712384911
heart,27,1,distance,0.676943685473631,0.6739459291726465,0.6755362476242194,0.0015903184515728697
heart,5,1,uniform,0.6446913038564581,0.6560645436561809,0.6755362476242194,0.019471703968038434
heart,10,2,distance,0.6546565352372975,0.6750126061828479,0.6755362476242194,0.000523641441371514
heart,15,1,distance,0.6660799877678281,0.6830611690780033,0.6755362476242194,-0.007524921453783917
heart,24,1,distance,0.6763147922857542,0.6708428687793335,0.6755362476242194,0.004693378844885854
heart,17,2,uniform,0.6633456984636659,0.6594779100888251,0.6755362476242194,0.016058337535394318
heart,26,2,distance,0.6718380832718401,0.6697955858965904,0.6755362476242194,0.005740661727628993
heart,30,1,distance,0.6824714305658045,0.6725107637407393,0.6755362476242194,0.003025483883480118
heart,3,1,uniform,0.6372217014685255,0.6466002094565765,0.6755362476242194,0.028936038167642897
heart,17,2,uniform,0.6633456984636659,0.6594779100888251,0.6755362476242194,0.016058337535394318
heart,27,1,distance,0.676943685473631,0.6739459291726465,0.6755362476242194,0.0015903184515728697
heart,2,2,distance,0.6070069071883953,0.6530390597727008,0.6755362476242194,0.022497187851518552
heart,23,1,distance,0.6763121331179407,0.6647143245025406,0.6755362476242194,0.010821923121678734
heart,1,1,uniform,0.5871425912260758,0.6041658585780225,0.6755362476242194,0.07137038904619686
diabetes,7,2,uniform,0.7729536206106664,0.7416716417910448,0.814089552238806,0.07241791044776114
diabetes,15,1,distance,0.7842508152100682,0.7815522388059701,0.814089552238806,0.032537313432835835
diabetes,29,1,uniform,0.7856299013663189,0.8179701492537313,0.814089552238806,-0.00388059701492538
diabetes,26,1,uniform,0.7801402700299134,0.8155223880597016,0.814089552238806,-0.001432835820895595
diabetes,11,1,distance,0.7819597717411809,0.7695522388059701,0.814089552238806,0.044537313432835846
diabetes,21,2,distance,0.7869064462230846,0.785134328358209,0.814089552238806,0.028955223880597014
diabetes,24,1,distance,0.7866661613711698,0.8084776119402985,0.814089552238806,0.005611940298507423
diabetes,21,2,distance,0.7869064462230846,0.785134328358209,0.814089552238806,0.028955223880597014
diabetes,12,2,distance,0.7721245991322391,0.7720597014925373,0.814089552238806,0.04202985074626864
diabetes,2,2,distance,0.7584495512975987,0.6945671641791045,0.814089552238806,0.1195223880597015
diabetes,21,1,distance,0.7872881801277387,0.8071044776119403,0.814089552238806,0.006985074626865706
diabetes,26,2,uniform,0.7737408373083247,0.7988656716417911,0.814089552238806,0.01522388059701485
diabetes,12,1,uniform,0.7699422952542647,0.7798805970149254,0.814089552238806,0.034208955223880566
diabetes,27,1,uniform,0.7854471865146737,0.8168358208955224,0.814089552238806,-0.002746268656716455
diabetes,10,2,distance,0.7791309928045921,0.7669253731343283,0.814089552238806,0.04716417910447768
diabetes,28,2,uniform,0.7792270663217182,0.7931940298507464,0.814089552238806,0.020895522388059584
diabetes,30,2,uniform,0.7834693251947071,0.791223880597015,0.814089552238806,0.022865671641790986
diabetes,30,1,distance,0.7927966084566254,0.8187462686567164,0.814089552238806,-0.004656716417910434
diabetes,23,2,distance,0.7874506831595116,0.7853134328358209,0.814089552238806,0.02877611940298508
diabetes,25,1,uniform,0.7783709946910287,0.8087164179104478,0.814089552238806,0.005373134328358176
diabetes,19,1,uniform,0.7762788692160508,0.7989253731343283,0.814089552238806,0.015164179104477649
diabetes,9,1,distance,0.7797049411162316,0.7742686567164179,0.814089552238806,0.0398208955223881
diabetes,4,1,distance,0.759584579728892,0.6977313432835821,0.814089552238806,0.11635820895522386
diabetes,14,2,distance,0.7737457892041932,0.7709850746268656,0.814089552238806,0.04310447761194036
diabetes,9,2,uniform,0.7656774328293855,0.7565970149253731,0.814089552238806,0.057492537313432845
diabetes,2,2,distance,0.7584495512975987,0.6945671641791045,0.814089552238806,0.1195223880597015
diabetes,15,2,uniform,0.7691403913008327,0.7789850746268657,0.814089552238806,0.035104477611940244
diabetes,12,1,distance,0.7815388942787076,0.7754029850746269,0.814089552238806,0.038686567164179064
diabetes,15,1,distance,0.7842508152100682,0.7815522388059701,0.814089552238806,0.032537313432835835
diabetes,17,2,distance,0.7834356725146199,0.7811940298507464,0.814089552238806,0.032895522388059595
diabetes,8,2,distance,0.7845461098984019,0.7465074626865671,0.814089552238806,0.06758208955223888
diabetes,30,2,distance,0.7927086533538146,0.7902089552238806,0.814089552238806,0.023880597014925398
diabetes,10,2,distance,0.7791309928045921,0.7669253731343283,0.814089552238806,0.04716417910447768
diabetes,29,1,distance,0.7905440685045949,0.8149253731343283,0.814089552238806,-0.0008358208955223656
diabetes,26,2,distance,0.781382286361064,0.7979104477611941,0.814089552238806,0.01617910447761184
diabetes,10,2,distance,0.7791309928045921,0.7669253731343283,0.814089552238806,0.04716417910447768
diabetes,14,1,distance,0.7845951572479586,0.7753432835820896,0.814089552238806,0.038746268656716376
diabetes,15,2,distance,0.779630527932735,0.7746865671641792,0.814089552238806,0.039402985074626806
diabetes,23,2,uniform,0.778725947934352,0.7882985074626866,0.814089552238806,0.025791044776119376
diabetes,30,2,uniform,0.7834693251947071,0.791223880597015,0.814089552238806,0.022865671641790986
diabetes,16,1,distance,0.7849923868811814,0.7891940298507463,0.814089552238806,0.0248955223880597
diabetes,15,1,distance,0.7842508152100682,0.7815522388059701,0.814089552238806,0.032537313432835835
diabetes,26,1,distance,0.7865889522192578,0.814089552238806,0.814089552238806,0.0
diabetes,28,2,uniform,0.7792270663217182,0.7931940298507464,0.814089552238806,0.020895522388059584
diabetes,9,1,uniform,0.7670149500094322,0.787044776119403,0.814089552238806,0.027044776119402925
diabetes,13,1,uniform,0.7747998692968981,0.7857910447761194,0.814089552238806,0.028298507462686584
diabetes,7,1,distance,0.7751321516155981,0.7444179104477613,0.814089552238806,0.06967164179104468
diabetes,1,2,distance,0.6821141563586385,0.6491940298507463,0.814089552238806,0.1648955223880597
diabetes,24,1,uniform,0.779680046891422,0.8103880597014925,0.814089552238806,0.0037014925373134444
diabetes,19,1,distance,0.7854040342792465,0.7943880597014925,0.814089552238806,0.01970149253731346
diabetes,3,1,uniform,0.7404531490015362,0.7050746268656716,0.814089552238806,0.1090149253731344
diabetes,27,1,distance,0.7901960209663945,0.8152835820895522,0.814089552238806,-0.0011940298507462366
diabetes,7,2,uniform,0.7729536206106664,0.7416716417910448,0.814089552238806,0.07241791044776114
diabetes,28,1,uniform,0.7868970140404776,0.8191044776119403,0.814089552238806,-0.005014925373134305
diabetes,8,2,distance,0.7845461098984019,0.7465074626865671,0.814089552238806,0.06758208955223888
diabetes,1,2,uniform,0.6821141563586385,0.6491940298507463,0.814089552238806,0.1648955223880597
diabetes,23,2,distance,0.7874506831595116,0.7853134328358209,0.814089552238806,0.02877611940298508
diabetes,5,1,distance,0.7586810103215027,0.7132537313432836,0.814089552238806,0.10083582089552234
diabetes,8,2,uniform,0.7670206766917295,0.7511044776119403,0.814089552238806,0.06298507462686564
diabetes,3,1,uniform,0.7404531490015362,0.7050746268656716,0.814089552238806,0.1090149253731344
diabetes,5,1,distance,0.7586810103215027,0.7132537313432836,0.814089552238806,0.10083582089552234
diabetes,3,1,uniform,0.7404531490015362,0.7050746268656716,0.814089552238806,0.1090149253731344
diabetes,26,1,uniform,0.7801402700299134,0.8155223880597016,0.814089552238806,-0.001432835820895595
diabetes,14,1,uniform,0.7730240588029214,0.7774925373134328,0.814089552238806,0.03659701492537315
diabetes,9,1,uniform,0.7670149500094322,0.787044776119403,0.814089552238806,0.027044776119402925
diabetes,26,2,distance,0.781382286361064,0.7979104477611941,0.814089552238806,0.01617910447761184
diabetes,13,1,uniform,0.7747998692968981,0.7857910447761194,0.814089552238806,0.028298507462686584
diabetes,7,1,distance,0.7751321516155981,0.7444179104477613,0.814089552238806,0.06967164179104468
diabetes,29,2,distance,0.7875558856819469,0.7895522388059701,0.814089552238806,0.024537313432835828
diabetes,30,1,uniform,0.7886590804969413,0.8194626865671641,0.814089552238806,-0.005373134328358176
diabetes,7,1,uniform,0.7626125124639556,0.7525970149253731,0.814089552238806,0.06149253731343285
diabetes,11,1,distance,0.7819597717411809,0.7695522388059701,0.814089552238806,0.044537313432835846
diabetes,13,2,uniform,0.7541935483870967,0.7740298507462686,0.814089552238806,0.04005970149253735
diabetes,27,1,distance,0.7901960209663945,0.8152835820895522,0.814089552238806,-0.0011940298507462366
diabetes,28,2,distance,0.7855036111784839,0.7924179104477612,0.814089552238806,0.02167164179104475
diabetes,13,2,uniform,0.7541935483870967,0.7740298507462686,0.814089552238806,0.04005970149253735
diabetes,21,2,distance,0.7869064462230846,0.785134328358209,0.814089552238806,0.028955223880597014
diabetes,28,2,distance,0.7855036111784839,0.7924179104477612,0.814089552238806,0.02167164179104475
diabetes,20,2,distance,0.78699578246692,0.7857313432835822,0.814089552238806,0.028358208955223785
diabetes,11,2,distance,0.7739783261918236,0.770268656716418,0.814089552238806,0.04382089552238799
diabetes,23,2,uniform,0.778725947934352,0.7882985074626866,0.814089552238806,0.025791044776119376
diabetes,7,2,uniform,0.7729536206106664,0.7416716417910448,0.814089552238806,0.07241791044776114
diabetes,1,1,uniform,0.6798752930713882,0.6382686567164179,0.814089552238806,0.1758208955223881
diabetes,30,1,distance,0.7927966084566254,0.8187462686567164,0.814089552238806,-0.004656716417910434
diabetes,13,1,uniform,0.7747998692968981,0.7857910447761194,0.814089552238806,0.028298507462686584
diabetes,7,2,distance,0.7871683577222627,0.7377910447761193,0.814089552238806,0.07629850746268663
diabetes,27,1,distance,0.7901960209663945,0.8152835820895522,0.814089552238806,-0.0011940298507462366
diabetes,5,1,uniform,0.74284757592907,0.7234029850746269,0.814089552238806,0.09068656716417911
diabetes,10,2,distance,0.7791309928045921,0.7669253731343283,0.814089552238806,0.04716417910447768
diabetes,15,1,distance,0.7842508152100682,0.7815522388059701,0.814089552238806,0.032537313432835835
diabetes,24,1,distance,0.7866661613711698,0.8084776119402985,0.814089552238806,0.005611940298507423
diabetes,17,2,uniform,0.7738054477591828,0.7863880597014926,0.814089552238806,0.027701492537313355
diabetes,26,2,distance,0.781382286361064,0.7979104477611941,0.814089552238806,0.01617910447761184
diabetes,30,1,distance,0.7927966084566254,0.8187462686567164,0.814089552238806,-0.004656716417910434
diabetes,3,1,uniform,0.7404531490015362,0.7050746268656716,0.814089552238806,0.1090149253731344
diabetes,17,2,uniform,0.7738054477591828,0.7863880597014926,0.814089552238806,0.027701492537313355
diabetes,27,1,distance,0.7901960209663945,0.8152835820895522,0.814089552238806,-0.0011940298507462366
diabetes,2,2,distance,0.7584495512975987,0.6945671641791045,0.814089552238806,0.1195223880597015
diabetes,23,1,distance,0.7860002829654783,0.8093731343283582,0.814089552238806,0.0047164179104477455
diabetes,1,1,uniform,0.6798752930713882,0.6382686567164179,0.814089552238806,0.1758208955223881
cancer,7,2,uniform,0.744059068489658,0.7175553319919517,0.7646256325833791,0.04707030059142747
cancer,15,1,distance,0.7437776041188033,0.7427062374245472,0.7646256325833791,0.0219193951588319
cancer,29,1,uniform,0.7427317426644288,0.7720946893482105,0.7646256325833791,-0.007469056764831339
cancer,26,1,uniform,0.7470316568372535,0.7686916956283154,0.7646256325833791,-0.0040660630449362856
cancer,11,1,distance,0.7416737932165336,0.7364223218096457,0.7646256325833791,0.028203310773733392
cancer,21,2,distance,0.7495969490077788,0.7557656545332602,0.7646256325833791,0.008859978050118955
cancer,24,1,distance,0.748246277762912,0.7608301323090055,0.7646256325833791,0.0037955002743735866
cancer,21,2,distance,0.7495969490077788,0.7557656545332602,0.7646256325833791,0.008859978050118955
cancer,12,2,distance,0.7381396151708118,0.7443067495884398,0.7646256325833791,0.020318882994939336
cancer,2,2,distance,0.6420884254153851,0.6853088226327664,0.7646256325833791,0.07931680995061274
cancer,21,1,distance,0.7476772222492508,0.7547634290592037,0.7646256325833791,0.009862203524175439
cancer,26,2,uniform,0.7494125599472581,0.771248704347296,0.7646256325833791,-0.006623071763916855
cancer,12,1,uniform,0.7451483522894156,0.7294600938967136,0.7646256325833791,0.0351655386866655
cancer,27,1,uniform,0.7450681890206985,0.7721556612401683,0.7646256325833791,-0.0075300286567892005
cancer,10,2,distance,0.7406760658178776,0.7419440887750748,0.7646256325833791,0.02268154380830434
cancer,28,2,uniform,0.7493422505865214,0.7822579415889275,0.7646256325833791,-0.017632309005548352
cancer,30,2,uniform,0.7510336690064454,0.7853979940247546,0.7646256325833791,-0.02077236144137551
cancer,30,1,distance,0.74601153565212,0.770943844887507,0.7646256325833791,-0.006318212304127879
cancer,23,2,distance,0.7502195699248784,0.7612302603499786,0.7646256325833791,0.0033953722334004732
cancer,25,1,uniform,0.7460265714560507,0.7662909273824766,0.7646256325833791,-0.0016652947990974942
cancer,19,1,uniform,0.7470456143113016,0.7448478751295653,0.7646256325833791,0.019777757453813827
cancer,9,1,distance,0.7379554493780711,0.7394366197183098,0.7646256325833791,0.02518901286506936
cancer,4,1,distance,0.69283522742118,0.71982653496738,0.7646256325833791,0.044799097615999095
cancer,14,2,distance,0.7454093419068161,0.7475687458081824,0.7646256325833791,0.017056886775196678
cancer,9,2,uniform,0.7469260337213744,0.7358926284982624,0.7646256325833791,0.028733004085116698
cancer,2,2,distance,0.6420884254153851,0.6853088226327664,0.7646256325833791,0.07931680995061274
cancer,15,2,uniform,0.7581272932106774,0.7401149320163405,0.7646256325833791,0.024510700567038635
cancer,12,1,distance,0.7402073954960385,0.7395890494482045,0.7646256325833791,0.02503658313517465
cancer,15,1,distance,0.7437776041188033,0.7427062374245472,0.7646256325833791,0.0219193951588319
cancer,17,2,distance,0.7505814889669115,0.7446535272239498,0.7646256325833791,0.019972105359429282
cancer,8,2,distance,0.733534468040442,0.7399129626242302,0.7646256325833791,0.024712669959148892
cancer,30,2,distance,0.7522458486270356,0.7771858423266875,0.7646256325833791,-0.012560209743308404
cancer,10,2,distance,0.7406760658178776,0.7419440887750748,0.7646256325833791,0.02268154380830434
cancer,29,1,distance,0.7455247040589802,0.7691451740747516,0.7646256325833791,-0.0045195414913724585
cancer,26,2,distance,0.7502127266125733,0.7675980123163222,0.7646256325833791,-0.0029723797329430646
cancer,10,2,distance,0.7406760658178776,0.7419440887750748,0.7646256325833791,0.02268154380830434
cancer,14,1,distance,0.7426771777646237,0.7452594354002804,0.7646256325833791,0.019366197183098732
cancer,15,2,distance,0.7502743302191842,0.7475649350649352,0.7646256325833791,0.017060697518443968
cancer,23,2,uniform,0.7512199185379492,0.7642750442046217,0.7646256325833791,0.00035058837875745485
cancer,30,2,uniform,0.7510336690064454,0.7853979940247546,0.7646256325833791,-0.02077236144137551
cancer,16,1,distance,0.7461673475630082,0.744078104993598,0.7646256325833791,0.020547527589781067
cancer,15,1,distance,0.7437776041188033,0.7427062374245472,0.7646256325833791,0.0219193951588319
cancer,26,1,distance,0.7477338748294944,0.7646256325833791,0.7646256325833791,0.0
cancer,28,2,uniform,0.7493422505865214,0.7822579415889275,0.7646256325833791,-0.017632309005548352
cancer,9,1,uniform,0.7464073210096276,0.7305347234924698,0.7646256325833791,0.03409090909090928
cancer,13,1,uniform,0.7498968314219584,0.7311368209255533,0.7646256325833791,0.0334888116578258
cancer,7,1,distance,0.7295691722998845,0.7378132430949333,0.7646256325833791,0.026812389488445776
cancer,1,2,distance,0.6026484750444621,0.6531004207060546,0.7646256325833791,0.11152521187732456
cancer,24,1,uniform,0.7490709470112638,0.7653191878543991,0.7646256325833791,-0.0006935552710199966
cancer,19,1,distance,0.745728602443929,0.7487881836473386,0.7646256325833791,0.015837448936040555
cancer,3,1,uniform,0.6699479082202185,0.6850420706054509,0.7646256325833791,0.07958356197792826
cancer,27,1,distance,0.7464383923954038,0.7664967075178344,0.7646256325833791,-0.0018710749344552635
cancer,7,2,uniform,0.744059068489658,0.7175553319919517,0.7646256325833791,0.04707030059142747
cancer,28,1,uniform,0.7448749965088014,0.7701778854947869,0.7646256325833791,-0.005552252911407818
cancer,8,2,distance,0.733534468040442,0.7399129626242302,0.7646256325833791,0.024712669959148892
cancer,1,2,uniform,0.6026484750444621,0.6531004207060546,0.7646256325833791,0.11152521187732456
cancer,23,2,distance,0.7502195699248784,0.7612302603499786,0.7646256325833791,0.0033953722334004732
cancer,5,1,distance,0.7005108721554615,0.7170675568562892,0.7646256325833791,0.04755807572708992
cancer,8,2,uniform,0.7433949966281779,0.7305728309249436,0.7646256325833791,0.034052801658435494
cancer,3,1,uniform,0.6699479082202185,0.6850420706054509,0.7646256325833791,0.07958356197792826
cancer,5,1,distance,0.7005108721554615,0.7170675568562892,0.7646256325833791,0.04755807572708992
cancer,3,1,uniform,0.6699479082202185,0.6850420706054509,0.7646256325833791,0.07958356197792826
cancer,26,1,uniform,0.7470316568372535,0.7686916956283154,0.7646256325833791,-0.0040660630449362856
cancer,14,1,uniform,0.7482525762793103,0.7384686909334797,0.7646256325833791,0.026156941649899457
cancer,9,1,uniform,0.7464073210096276,0.7305347234924698,0.7646256325833791,0.03409090909090928
cancer,26,2,distance,0.7502127266125733,0.7675980123163222,0.7646256325833791,-0.0029723797329430646
cancer,13,1,uniform,0.7498968314219584,0.7311368209255533,0.7646256325833791,0.0334888116578258
cancer,7,1,distance,0.7295691722998845,0.7378132430949333,0.7646256325833791,0.026812389488445776
cancer,29,2,distance,0.7520813298358281,0.7758444607036157,0.7646256325833791,-0.011218828120236557
cancer,30,1,uniform,0.7433974368070535,0.7747507773916225,0.7646256325833791,-0.010125144808243336
cancer,7,1,uniform,0.7392038116117715,0.7267392232180964,0.7646256325833791,0.03788640936528276
cancer,11,1,distance,0.7416737932165336,0.7364223218096457,0.7646256325833791,0.028203310773733392
cancer,13,2,uniform,0.7501653471062243,0.7339110420096335,0.7646256325833791,0.030714590573745593
cancer,27,1,distance,0.7464383923954038,0.7664967075178344,0.7646256325833791,-0.0018710749344552635
cancer,28,2,distance,0.75099260181236,0.7751204194866167,0.7646256325833791,-0.010494786903237574
cancer,13,2,uniform,0.7501653471062243,0.7339110420096335,0.7646256325833791,0.030714590573745593
cancer,21,2,distance,0.7495969490077788,0.7557656545332602,0.7646256325833791,0.008859978050118955
cancer,28,2,distance,0.75099260181236,0.7751204194866167,0.7646256325833791,-0.010494786903237574
cancer,20,2,distance,0.7520474103077299,0.7498170843241265,0.7646256325833791,0.014808548259252596
cancer,11,2,distance,0.7376211642989583,0.7443029388451924,0.7646256325833791,0.020322693738186737
cancer,23,2,uniform,0.7512199185379492,0.7642750442046217,0.7646256325833791,0.00035058837875745485
cancer,7,2,uniform,0.744059068489658,0.7175553319919517,0.7646256325833791,0.04707030059142747
cancer,1,1,uniform,0.6046944801447653,0.6525135662459607,0.7646256325833791,0.11211206633741844
cancer,30,1,distance,0.74601153565212,0.770943844887507,0.7646256325833791,-0.006318212304127879
cancer,13,1,uniform,0.7498968314219584,0.7311368209255533,0.7646256325833791,0.0334888116578258
cancer,7,2,distance,0.7319741888932134,0.7282787634900312,0.7646256325833791,0.036346869093347944
cancer,27,1,distance,0.7464383923954038,0.7664967075178344,0.7646256325833791,-0.0018710749344552635
cancer,5,1,uniform,0.7044622537804048,0.7055667337357479,0.7646256325833791,0.05905889884763127
cancer,10,2,distance,0.7406760658178776,0.7419440887750748,0.7646256325833791,0.02268154380830434
cancer,15,1,distance,0.7437776041188033,0.7427062374245472,0.7646256325833791,0.0219193951588319
cancer,24,1,distance,0.748246277762912,0.7608301323090055,0.7646256325833791,0.0037955002743735866
cancer,17,2,uniform,0.7553896630903278,0.7392270288397047,0.7646256325833791,0.02539860374367442
cancer,26,2,distance,0.7502127266125733,0.7675980123163222,0.7646256325833791,-0.0029723797329430646
cancer,30,1,distance,0.74601153565212,0.770943844887507,0.7646256325833791,-0.006318212304127879
