dataset,n_neighbors,p,weights,test_roc_auc,default_test_roc_auc
alzheimer,30,1,distance,0.7423926194797339,0.6674228675136117
cancer,29,2,uniform,0.7895059752454119,0.680004268032437
diabetes,26,1,distance,0.8092537313432836,0.7105074626865673
heart,5,1,distance,0.6800938675768977,0.637407393041387
