dataset,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,test_roc_auc,default_test_roc_auc
alzheimer,0.6008539774087905,0.5743455442480204,0.00390625,4.0,3.016237293611947,258.0,0.043626966269403857,0.03125,0.5,0.8647307924984876,0.8446309739866908
cancer,0.85335616625199,0.5,0.00390625,3.0,5.6747197104553955,2000.0,0.14220468412772147,0.03125,0.5,0.8590710932260228,0.8132888238522041
diabetes,0.5178450053790331,0.897033900120821,0.76175129521714,8.0,4.91434917474338,1461.0,6.428574336638971,18.87121887567614,0.9397537669621184,0.8256716417910448,0.7866268656716418
heart,0.5814196703118943,0.5949088264437223,0.09826642677421678,12.0,22.73402120791802,378.0,10.007482597904346,4.163990981845514,1.0,0.8091229975563398,0.7759590396028082
