dataset,n_neighbors,p,weights,cv_roc_auc,test_roc_auc,star_test_roc_auc,diff_from_star
heart,7,2,uniform,0.6579966044142616,0.656646367479927,0.6543966486947752,-0.0022497187851517886
heart,15,1,distance,0.6888285229202037,0.6639385594042123,0.6543966486947752,-0.009541910709437107
heart,29,1,uniform,0.6687323146576117,0.6395407470617898,0.6543966486947752,0.014855901632985447
heart,26,1,uniform,0.6672778720996038,0.639948023738412,0.6543966486947752,0.014448624956363232
heart,11,1,distance,0.6766157328805885,0.6554827198324347,0.6543966486947752,-0.0010860711376594612
heart,21,2,distance,0.6654668930390493,0.6605251929715683,0.6543966486947752,-0.006128544276793102
heart,24,1,distance,0.6927334465195246,0.6513323765563788,0.6543966486947752,0.00306427213839644
heart,21,2,distance,0.6654668930390493,0.6605251929715683,0.6543966486947752,-0.006128544276793102
heart,12,2,distance,0.674102999434069,0.6502463054187193,0.6543966486947752,0.004150343276055901
heart,2,2,distance,0.6199603848330504,0.6310461192350956,0.6543966486947752,0.023350529459679636
heart,21,1,distance,0.6912054329371816,0.6472983980450719,0.6543966486947752,0.007098250649703264
heart,26,2,uniform,0.6574136955291455,0.6400837826306194,0.6543966486947752,0.014312866064155827
heart,12,1,uniform,0.6636955291454443,0.6535433070866141,0.6543966486947752,0.0008533416081610845
heart,27,1,uniform,0.663520090548953,0.6399286296109539,0.6543966486947752,0.014468019083821337
heart,10,2,distance,0.6709677419354839,0.6703192273379621,0.6543966486947752,-0.015922578643186913
heart,28,2,uniform,0.6706734578381438,0.6415189480625267,0.6543966486947752,0.012877700632248468
heart,30,2,uniform,0.6740124504810413,0.6432838136612233,0.6543966486947752,0.011112835033551871
heart,30,1,distance,0.6829881154499151,0.6582366859315,0.6543966486947752,-0.0038400372367247693
heart,23,2,distance,0.6670967741935483,0.6545130134595245,0.6543966486947752,-0.00011636476474929935
heart,25,1,uniform,0.6776287492925863,0.6382607346495481,0.6543966486947752,0.016135914045227073
heart,19,1,uniform,0.6661516694963214,0.6319964314805477,0.6543966486947752,0.02240021721422747
