dataset,n_neighbors,p,weights,cv_roc_auc,test_roc_auc
heart,13,2,distance,0.6777249575551783,0.6506341879678834
heart,25,2,uniform,0.6503904923599322,0.6430704782591832
heart,14,2,uniform,0.6589473684210525,0.641926224739149
heart,25,1,distance,0.6916808149405773,0.6554827198324348
heart,24,1,distance,0.6927334465195246,0.6513323765563788
heart,22,2,uniform,0.6363157894736842,0.6433032077886816
heart,19,2,uniform,0.6524674589700057,0.6414801598076103
heart,17,2,uniform,0.6649915110356537,0.6375819401885109
heart,29,2,distance,0.684391624221845,0.6592451805593267
heart,1,2,distance,0.6039049235993208,0.589406927582328
heart,18,2,distance,0.6734012450481041,0.6597882161281564
heart,1,1,uniform,0.6056196943972835,0.5982506497032698
heart,30,1,uniform,0.6661346915676287,0.6365734455606842
heart,9,1,distance,0.6782399547255235,0.6519529886350413
heart,8,1,uniform,0.6699320882852292,0.6471044567704899
heart,21,1,distance,0.6912054329371816,0.6472983980450719
heart,15,1,distance,0.6888285229202037,0.6639385594042123
heart,18,1,distance,0.6874589700056594,0.6515651060858773
heart,30,1,distance,0.6829881154499151,0.6582366859315
heart,25,2,distance,0.6701867572156196,0.6574221325782553
heart,16,1,uniform,0.6755178268251274,0.656646367479927
heart,12,1,distance,0.6769213355970571,0.6616112641092277
heart,8,2,distance,0.6690662139219015,0.6595942748535744
heart,28,1,distance,0.6861346915676287,0.6578875916372522
heart,6,1,distance,0.6731975099037918,0.6669834374151506
heart,23,1,distance,0.6900396151669497,0.6487335634769793
heart,30,2,uniform,0.6740124504810413,0.6432838136612233
heart,21,1,uniform,0.6732144878324845,0.6280400294790738
heart,30,2,distance,0.6875495189586871,0.6590512392847446
heart,5,2,uniform,0.6340181097906056,0.637407393041387
heart,26,1,uniform,0.6672778720996038,0.639948023738412
heart,15,2,distance,0.6766723259762308,0.6503626701834684
heart,26,1,distance,0.6832710809281268,0.6576548621077538
heart,19,1,distance,0.6861007357102433,0.649664481594973
heart,16,1,distance,0.6963780418788907,0.6645203832279586
heart,17,1,distance,0.6918845500848896,0.6531166362825336
heart,10,2,uniform,0.6700452744765139,0.6560063612738063
heart,22,1,distance,0.6863723825693265,0.6543966486947752
heart,12,1,uniform,0.6636955291454443,0.6535433070866141
heart,28,2,distance,0.6862931522354272,0.659943369147822
heart,11,2,distance,0.6711035653650255,0.6632791590706334
heart,26,2,uniform,0.6574136955291455,0.6400837826306194
heart,2,1,distance,0.6380362195812112,0.6381443698847988
heart,12,1,uniform,0.6636955291454443,0.6535433070866141
heart,6,1,distance,0.6731975099037918,0.6669834374151506
heart,9,1,uniform,0.670803621958121,0.6380667933749662
heart,26,1,uniform,0.6672778720996038,0.639948023738412
heart,16,1,uniform,0.6755178268251274,0.656646367479927
heart,6,2,uniform,0.6369552914544425,0.6517784414879175
heart,15,1,distance,0.6888285229202037,0.6639385594042123
heart,21,2,distance,0.6654668930390493,0.6605251929715683
heart,18,1,uniform,0.66417091114884,0.6333540204026221
