dataset,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,test_roc_auc,default_test_roc_auc
alzheimer,0.5257974521164476,1.0,0.00390625,7.0,11.2676631621069,852.0,0.12534549477325205,22.359418428308675,1.0,0.8666817906836057,0.8446007259528131
cancer,0.9532349752732456,0.7739070285993397,0.00390625,3.0,1.0,1436.0,0.03125,0.03125,0.5,0.8654769526248399,0.8099887201999878
diabetes,1.0,0.8056106752293128,0.023395221424712044,9.0,6.338879507142813,100.0,1.2065182687053113,0.8239798969186756,0.9933414174500137,0.8445373134328358,0.7976119402985075
heart,0.9183734850186681,1.0,1.0,11.0,18.829162783763554,2000.0,31.225602174082972,1.466624049709627,1.0,0.8090066327915907,0.7657189403048756
