dataset,n_neighbors,p,weights,test_roc_auc,star_test_roc_auc,default_test_roc_auc
alzheimer,30,1,distance,0.7423926194797339,0.7247882637628555,0.6674228675136117
cancer,28,2,uniform,0.7883170233522345,0.7662947381257241,0.680004268032437
diabetes,26,1,distance,0.8092537313432836,0.8025671641791046,0.7105074626865673
heart,5,1,distance,0.6800938675768977,0.6543966486947752,0.637407393041387
STAR,22,1,distance,,0.7370117036906148,
