dataset,n_neighbors,p,weights,cv_roc_auc,test_roc_auc,star_test_roc_auc,diff_from_star
heart,7,2,uniform,0.6334764901956447,0.656820914627051,0.6630076412862185,0.00618672665916753
heart,15,1,distance,0.653761642441539,0.6508281292424654,0.6630076412862185,0.012179512043753116
heart,29,1,uniform,0.6622100174774894,0.6606221636088592,0.6630076412862185,0.0023854776773593045
heart,26,1,uniform,0.6700001659255326,0.6560063612738063,0.6630076412862185,0.007001280012412181
heart,11,1,distance,0.6475556219257685,0.6590512392847446,0.6630076412862185,0.003956402001473847
heart,21,2,distance,0.6679080846293961,0.6656452426205345,0.6630076412862185,-0.0026376013343160087
heart,24,1,distance,0.6659257907273438,0.66936891509251,0.6630076412862185,-0.006361273806291479
heart,21,2,distance,0.6679080846293961,0.6656452426205345,0.6630076412862185,-0.0026376013343160087
heart,12,2,distance,0.6425174959256064,0.6597882161281564,0.6630076412862185,0.0032194251580620614
heart,2,2,distance,0.5898581521057794,0.641732283464567,0.6630076412862185,0.021275357821651464
heart,21,1,distance,0.6559282243018222,0.6661882781893642,0.6630076412862185,-0.0031806369031457393
heart,26,2,uniform,0.6574974558084998,0.6504014584383848,0.6630076412862185,0.012606182847833658
heart,12,1,uniform,0.6486345066112107,0.6572669795585897,0.6630076412862185,0.005740661727628771
heart,27,1,uniform,0.6711255650686194,0.6542608898025677,0.6630076412862185,0.008746751483650783
heart,10,2,distance,0.6455158071724078,0.6576742562352119,0.6630076412862185,0.005333385051006556
heart,28,2,uniform,0.6637120860157961,0.6610876226678561,0.6630076412862185,0.0019200186183623291
heart,30,2,uniform,0.6602444083095507,0.6551918079205616,0.6630076412862185,0.007815833365656832
heart,30,1,distance,0.6653608327249397,0.6653737248361198,0.6630076412862185,-0.00236608354990131
heart,23,2,distance,0.66691186773154,0.6628524882665529,0.6630076412862185,0.00015515301966562145
heart,25,1,uniform,0.6656319181729018,0.6619409642760172,0.6630076412862185,0.0010666770102012446
heart,19,1,uniform,0.6460395972065515,0.6555409022148093,0.6630076412862185,0.007466739071409156
