dataset,ccp_alpha,max_depth,min_samples_leaf,min_samples_split,test_roc_auc,default_test_roc_auc
alzheimer,0.001422950087408069,25.0,23.0,60.0,0.8678690260133092,0.7159104658197217
cancer,0.00015455386641044516,29.0,52.0,57.0,0.8317290104261935,0.7024647887323944
diabetes,0.0,19.0,6.0,42.0,0.8331940298507463,0.7041194029850747
heart,0.00559544710023619,30.0,60.0,2.0,0.7858112563515767,0.6499747876343043
