dataset,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,test_roc_auc,star_test_roc_auc,default_test_roc_auc
alzheimer,1.0,0.5555555555555556,0.004898414629411993,4.0,3.723222215679941,1177.0,0.06362074277108691,5.411008231029584,0.9444444444444444,0.8679068360556563,0.856578947368421,0.8446007259528131
cancer,0.9444444444444444,0.7777777777777778,0.07406305956992351,3.0,4.195857021292138,1733.0,13.158733350628646,0.03125,0.7222222222222222,0.8628361075544174,0.8488430583501007,0.8099887201999878
diabetes,0.9444444444444444,1.0,0.7121258270022673,11.0,12.300880266076668,338.0,5.411008231029584,0.5368400098840593,1.0,0.8425671641791045,0.8138507462686567,0.7976119402985075
heart,0.8333333333333333,0.6666666666666666,0.09287464307105926,10.0,28.395417264496608,1144.0,26.789388470197363,0.7659831786679867,0.8333333333333333,0.8064078197121912,0.8035956712307513,0.7657189403048756
STAR,0.9305555555555556,0.75,0.22099048606816554,7.0,12.0,1098.0,11.35568769865667,1.6862703548954074,0.875,,0.8307171058044824,
