dataset,ccp_alpha,max_depth,min_samples_leaf,min_samples_split,test_roc_auc,default_test_roc_auc
alzheimer,0.004880619247285889,22.0,15.0,2.0,0.8662431941923776,0.7300362976406534
cancer,0.0,30.0,38.0,2.0,0.8295225900859704,0.7019160417047742
diabetes,0.0011914637181225929,14.0,11.0,60.0,0.8020298507462688,0.6801194029850747
heart,0.005462672256991706,19.0,1.0,2.0,0.7914355533144564,0.6844381521275359
