dataset,ccp_alpha,max_depth,min_samples_leaf,min_samples_split,test_roc_auc,star_test_roc_auc,default_test_roc_auc
alzheimer,0.009310276780589922,12.0,5.0,38.0,0.8266182698124621,0.7801497277676951,0.7362673926194796
cancer,0.0005061583846218687,14.0,18.0,3.0,0.7781728248277544,0.7503239131760259,0.6591595024693617
diabetes,0.006505159298527952,4.0,25.0,15.0,0.7517014925373133,0.7256716417910447,0.6468059701492538
heart,0.006505159298527952,4.0,25.0,15.0,0.773011132229161,0.7674838059035725,0.6366704161979753
STAR,0.005706688440566924,8.0,18.0,18.0,,0.7559072721595845,
