dataset,ccp_alpha,max_depth,min_samples_leaf,min_samples_split,cv_roc_auc,test_roc_auc
heart,0.04101039588533139,22.0,56.0,20.0,0.7064834459636441,0.7734959854156163
heart,0.08373883555532845,27.0,19.0,57.0,0.5478547854785479,0.5
heart,0.044483251230115185,28.0,7.0,27.0,0.7064834459636441,0.7251270315348513
heart,0.08123959883573634,6.0,36.0,49.0,0.5996647283775998,0.5
heart,0.07995534416071731,14.0,32.0,44.0,0.5996647283775998,0.5
heart,0.07340280179855684,28.0,11.0,13.0,0.5996647283775998,0.7251270315348513
heart,0.061707935850231634,23.0,22.0,53.0,0.6647173273875007,0.7251270315348513
heart,0.05434030676903126,28.0,30.0,51.0,0.6647173273875007,0.7251270315348513
heart,0.09554779863099283,21.0,52.0,26.0,0.5,0.5
heart,0.0003630307254743227,25.0,45.0,17.0,0.7534386623186128,0.7836197199487995
heart,0.005462672256991706,19.0,1.0,2.0,0.6647476131541725,0.7914355533144564
heart,0.00026080398446472934,27.0,60.0,22.0,0.7419153373670699,0.7858112563515769
heart,0.005981433342129897,1.0,60.0,59.0,0.6647173273875007,0.7251270315348513
heart,0.012139546665364662,30.0,39.0,59.0,0.7446177281418618,0.7734959854156163
heart,0.01782376332864216,19.0,43.0,2.0,0.7469124888679345,0.7734959854156163
heart,0.04559717320374332,1.0,1.0,23.0,0.6647173273875007,0.7251270315348513
heart,0.009968531722483147,23.0,51.0,60.0,0.7559626126303107,0.7734959854156163
heart,0.0,18.0,60.0,48.0,0.7419153373670699,0.7858112563515769
heart,0.0,30.0,17.0,55.0,0.7250686750222641,0.7744656917885264
heart,0.03639481447158467,8.0,60.0,60.0,0.7064834459636441,0.7734959854156163
heart,0.008603069541940591,24.0,42.0,60.0,0.7449250877468699,0.7734959854156163
heart,0.013528646699215666,21.0,60.0,2.0,0.7495940070197497,0.7734959854156163
heart,0.03476881987483726,17.0,26.0,12.0,0.7394867462936769,0.7734959854156163
heart,0.022748638413730964,25.0,31.0,2.0,0.7394867462936769,0.7734959854156163
heart,0.008751531754633366,23.0,51.0,2.0,0.7526622825973074,0.7734959854156163
heart,0.0,30.0,44.0,2.0,0.7405725319555764,0.7836197199487995
heart,0.011682881643576035,22.0,53.0,60.0,0.7559626126303107,0.7734959854156163
heart,0.016202050330597864,30.0,60.0,31.0,0.7495940070197497,0.7734959854156163
heart,0.014766365756472694,24.0,56.0,60.0,0.7495940070197497,0.7734959854156163
heart,0.010851576470798886,25.0,55.0,2.0,0.7446177281418619,0.7734959854156163
heart,0.09757397789806234,4.0,1.0,34.0,0.5,0.5
heart,0.02224819619100754,30.0,1.0,11.0,0.7394867462936769,0.7734959854156163
heart,0.03862025691653362,18.0,1.0,47.0,0.7064834459636441,0.7734959854156163
heart,0.008992516266007559,23.0,60.0,60.0,0.7446177281418619,0.7734959854156163
heart,0.022712202385759984,13.0,39.0,60.0,0.7413431819372414,0.7734959854156163
heart,0.014226384386946815,20.0,49.0,60.0,0.7526880664256902,0.7734959854156163
heart,0.00975092053383371,21.0,49.0,60.0,0.7526622825973074,0.7734959854156163
heart,0.008899036778171969,20.0,50.0,2.0,0.7526622825973074,0.7734959854156163
heart,0.006287687110050157,20.0,49.0,60.0,0.758215218843313,0.7734959854156163
heart,0.0,16.0,42.0,60.0,0.736211381554822,0.7870136922539855
heart,0.007490526037382568,21.0,50.0,60.0,0.7526622825973074,0.7734959854156163
heart,0.011078014670623453,19.0,51.0,60.0,0.7559626126303107,0.7734959854156163
heart,0.011640005297343659,19.0,51.0,60.0,0.7559626126303107,0.7734959854156163
heart,0.012041499887994946,18.0,52.0,60.0,0.7559626126303107,0.7734959854156163
heart,0.012768329923773292,18.0,52.0,60.0,0.7526880664256902,0.7734959854156163
heart,0.006809875244275926,20.0,51.0,60.0,0.7526622825973074,0.7734959854156163
heart,0.04243259038492902,7.0,32.0,54.0,0.7064834459636441,0.7251270315348513
heart,0.01515490460098192,18.0,52.0,60.0,0.7526880664256902,0.7734959854156163
heart,0.0014923765896660006,1.0,1.0,59.0,0.6647173273875007,0.7251270315348513
heart,0.0,22.0,50.0,60.0,0.7552971442977632,0.7858112563515769
heart,0.026607962849048546,30.0,46.0,23.0,0.7526880664256902,0.7734959854156163
heart,0.027275287249135884,30.0,23.0,60.0,0.7394867462936769,0.7734959854156163
heart,0.025478387306874458,30.0,60.0,60.0,0.7495940070197497,0.7734959854156163
heart,0.057490980073085445,1.0,60.0,29.0,0.6647173273875007,0.7251270315348513
heart,0.021373972775974023,30.0,50.0,60.0,0.7526880664256902,0.7734959854156163
heart,0.02877809280675448,1.0,31.0,48.0,0.6647173273875007,0.7251270315348513
heart,0.0,22.0,49.0,60.0,0.7567246680025145,0.7858112563515769
heart,0.02882194354054722,16.0,49.0,46.0,0.7064834459636441,0.7734959854156163
heart,0.023411378581759425,14.0,22.0,60.0,0.7394867462936769,0.7734959854156163
heart,0.012548188933726834,14.0,42.0,60.0,0.7469124888679345,0.7734959854156163
heart,0.05730430111877108,14.0,60.0,51.0,0.6647173273875007,0.7251270315348513
heart,0.0,22.0,45.0,60.0,0.7534386623186128,0.7836197199487995
heart,0.04001937546838041,30.0,60.0,60.0,0.7064834459636441,0.7734959854156163
heart,0.023788800403407244,27.0,51.0,60.0,0.7526880664256902,0.7734959854156163
heart,0.011713601251928893,12.0,60.0,60.0,0.7495940070197497,0.7734959854156163
heart,0.009545947374255358,16.0,55.0,60.0,0.7446177281418619,0.7734959854156163
heart,0.013492305849174152,10.0,47.0,60.0,0.7526880664256902,0.7734959854156163
heart,0.0014685571646209858,10.0,60.0,60.0,0.7419153373670699,0.7858112563515769
heart,0.013225493432067534,9.0,60.0,60.0,0.7495940070197497,0.7734959854156163
heart,0.027247451422301124,8.0,1.0,58.0,0.7394867462936769,0.7734959854156163
heart,0.019275802457940545,9.0,25.0,60.0,0.7394867462936769,0.7734959854156163
heart,0.03567065449441222,11.0,13.0,2.0,0.7064834459636441,0.7734959854156163
heart,0.013973327097025362,9.0,1.0,60.0,0.7394867462936769,0.7734959854156163
heart,0.03500654884713514,22.0,27.0,60.0,0.7394867462936769,0.7734959854156163
heart,0.022875382881347252,24.0,48.0,60.0,0.7526880664256902,0.7734959854156163
heart,0.0,23.0,51.0,60.0,0.7552971442977632,0.7858112563515769
heart,0.0,24.0,50.0,60.0,0.7552971442977632,0.7858112563515769
heart,0.0,23.0,50.0,2.0,0.7552971442977632,0.7858112563515769
heart,0.0,9.0,29.0,60.0,0.7203629217088375,0.7801287770063224
heart,0.009955025329556298,11.0,52.0,60.0,0.7559626126303107,0.7734959854156163
heart,0.010269034481102328,11.0,52.0,2.0,0.7559626126303107,0.7734959854156163
heart,0.00972251056059676,10.0,52.0,60.0,0.7526622825973074,0.7734959854156163
heart,0.013456974930117677,11.0,51.0,2.0,0.7526880664256902,0.7734959854156163
heart,0.0,23.0,48.0,60.0,0.7529487695793389,0.7858112563515769
heart,0.0,21.0,52.0,60.0,0.7552971442977632,0.7858112563515769
heart,0.01695010348738303,22.0,51.0,60.0,0.7526880664256902,0.7734959854156163
heart,0.027499147309714228,27.0,44.0,60.0,0.7469124888679345,0.7734959854156163
heart,0.0,22.0,52.0,2.0,0.7552971442977632,0.7858112563515769
heart,0.010874827637761524,11.0,45.0,60.0,0.7559626126303107,0.7734959854156163
heart,0.012975774187157047,11.0,38.0,60.0,0.7413431819372414,0.7734959854156163
heart,0.008986309786017372,11.0,52.0,2.0,0.7526622825973074,0.7734959854156163
heart,0.0,22.0,53.0,60.0,0.7552971442977632,0.7858112563515769
heart,0.019959063651919906,5.0,1.0,60.0,0.7394867462936769,0.7734959854156163
heart,0.021561062558509356,30.0,51.0,2.0,0.7526880664256902,0.7734959854156163
heart,0.010561348317449619,20.0,53.0,60.0,0.7559626126303107,0.7734959854156163
heart,0.0,21.0,50.0,60.0,0.7552971442977632,0.7858112563515769
heart,0.011996289294136733,11.0,53.0,60.0,0.7559626126303107,0.7734959854156163
heart,0.010508170260947365,20.0,53.0,60.0,0.7559626126303107,0.7734959854156163
heart,0.0118829278283371,11.0,52.0,60.0,0.7559626126303107,0.7734959854156163
heart,0.1,1.0,60.0,46.0,0.5,0.5
diabetes,0.04101039588533139,22.0,56.0,20.0,0.7013397734460353,0.6593432835820895
diabetes,0.08373883555532845,27.0,19.0,57.0,0.5262492093611638,0.5
diabetes,0.044483251230115185,28.0,7.0,27.0,0.6421205823482864,0.6132537313432836
diabetes,0.08123959883573634,6.0,36.0,49.0,0.5368437697659709,0.5
diabetes,0.07995534416071731,14.0,32.0,44.0,0.5311511701454775,0.5
diabetes,0.07340280179855684,28.0,11.0,13.0,0.5810832641952187,0.6132537313432836
diabetes,0.061707935850231634,23.0,22.0,53.0,0.5810832641952187,0.6132537313432836
diabetes,0.05434030676903126,28.0,30.0,51.0,0.6390860351960922,0.6132537313432836
diabetes,0.09554779863099283,21.0,52.0,26.0,0.5,0.5
diabetes,0.0003630307254743227,25.0,45.0,17.0,0.692113904321368,0.7983283582089553
diabetes,0.025315349795599476,30.0,60.0,2.0,0.7013397734460353,0.6593432835820895
diabetes,0.021764212259625614,1.0,60.0,45.0,0.6690817089299063,0.6593432835820895
diabetes,0.0,28.0,1.0,2.0,0.5877157314538718,0.6801194029850747
diabetes,0.029615293247876446,30.0,44.0,39.0,0.6775415444770284,0.7314626865671643
diabetes,0.0,30.0,60.0,2.0,0.7013397734460353,0.7250746268656716
diabetes,0.040103221703552606,2.0,60.0,2.0,0.6690817089299063,0.6593432835820895
diabetes,0.0,30.0,60.0,60.0,0.7013397734460353,0.7250746268656716
diabetes,0.011029959956803906,30.0,60.0,38.0,0.7013397734460353,0.7250746268656716
diabetes,0.0010451417629581499,30.0,58.0,57.0,0.7047067768130387,0.7719402985074627
diabetes,0.041912901024431265,30.0,60.0,60.0,0.6690817089299063,0.6593432835820895
diabetes,0.0,3.0,60.0,2.0,0.7013397734460353,0.7250746268656716
diabetes,0.04708955394652603,30.0,60.0,2.0,0.6690817089299063,0.6593432835820895
diabetes,0.013673418040411453,17.0,60.0,2.0,0.7013397734460353,0.7222089552238806
diabetes,0.03679744857294972,6.0,22.0,46.0,0.6680144415754788,0.6132537313432836
diabetes,0.02934952435854789,15.0,23.0,21.0,0.7077566879907171,0.7314626865671643
diabetes,0.01976397767464234,30.0,40.0,2.0,0.6845782301190271,0.7833432835820896
diabetes,0.029496356442590382,17.0,60.0,2.0,0.7013397734460353,0.6593432835820895
diabetes,0.02726978188621317,16.0,39.0,2.0,0.6775415444770284,0.7314626865671643
diabetes,0.006619639375107763,9.0,1.0,60.0,0.7592246521721537,0.7867462686567164
diabetes,0.0,1.0,1.0,60.0,0.6421205823482864,0.6132537313432836
diabetes,0.006212735182042977,13.0,1.0,2.0,0.5749500517052698,0.7823283582089552
diabetes,0.023328830609958842,30.0,1.0,60.0,0.7472095659160808,0.7314626865671643
diabetes,0.018897693170317913,29.0,1.0,60.0,0.7472095659160808,0.7833432835820896
diabetes,0.009151974996077875,12.0,2.0,60.0,0.754815481096316,0.7871641791044777
diabetes,0.007344055466134112,26.0,14.0,60.0,0.7517592189477073,0.795223880597015
diabetes,0.022687215760125556,3.0,1.0,38.0,0.7269692117098822,0.7314626865671643
diabetes,0.007561410350672682,15.0,1.0,52.0,0.7540854997369862,0.7867462686567164
diabetes,0.020416153289967515,1.0,18.0,60.0,0.6421205823482864,0.6132537313432836
diabetes,0.0,13.0,60.0,42.0,0.7013397734460353,0.7250746268656716
diabetes,0.0024645609215217016,10.0,1.0,53.0,0.7447647843757901,0.7867462686567164
diabetes,0.00539224501363816,17.0,1.0,60.0,0.7592246521721537,0.7867462686567164
diabetes,0.0,30.0,1.0,60.0,0.7499039368109578,0.7760000000000001
diabetes,0.01726076631266566,8.0,60.0,22.0,0.7013397734460353,0.7222089552238806
diabetes,0.0,21.0,1.0,60.0,0.7499039368109578,0.7760000000000001
diabetes,0.013505199809705834,15.0,1.0,60.0,0.754815481096316,0.7833432835820896
diabetes,0.0011914637181225929,14.0,11.0,60.0,0.7330824966024206,0.8020298507462688
diabetes,0.017053299530948304,11.0,1.0,47.0,0.7541039061437543,0.7833432835820896
diabetes,0.012600396257729322,23.0,1.0,60.0,0.754815481096316,0.795223880597015
diabetes,0.1,1.0,1.0,2.0,0.5,0.5
diabetes,0.015079416593736487,12.0,1.0,60.0,0.761219655669371,0.7833432835820896
diabetes,0.007434820126360284,26.0,1.0,50.0,0.7531234987749852,0.7867462686567164
diabetes,0.018289169456426824,19.0,60.0,60.0,0.7013397734460353,0.7222089552238806
diabetes,0.033278250995606926,1.0,1.0,11.0,0.6421205823482864,0.6132537313432836
diabetes,0.016345238567432235,19.0,1.0,49.0,0.7541039061437543,0.7833432835820896
diabetes,0.0,30.0,15.0,49.0,0.7523630555730493,0.7985074626865671
diabetes,0.010374346792619282,30.0,18.0,60.0,0.7461026715454292,0.795223880597015
diabetes,0.00794892212191224,22.0,22.0,47.0,0.7407057153262088,0.795223880597015
diabetes,0.013784675196908637,11.0,1.0,55.0,0.754815481096316,0.7833432835820896
diabetes,0.009878008376026572,30.0,1.0,50.0,0.7538534801343152,0.7871641791044777
diabetes,0.0,30.0,1.0,42.0,0.7305252230141542,0.7909850746268657
diabetes,0.00958433451100301,13.0,1.0,60.0,0.754815481096316,0.7871641791044777
diabetes,0.014186863250195436,10.0,1.0,37.0,0.758360121500539,0.7833432835820896
diabetes,0.0139442432942081,14.0,1.0,40.0,0.758360121500539,0.7833432835820896
diabetes,0.020675862787932292,11.0,1.0,38.0,0.7472095659160808,0.7833432835820896
diabetes,0.008607756069531743,11.0,1.0,42.0,0.7506909247895965,0.7871641791044777
diabetes,0.00020189844911961031,2.0,23.0,23.0,0.6982168451175409,0.7320597014925374
diabetes,0.016279210793073453,13.0,28.0,36.0,0.7556451384724628,0.7833432835820896
diabetes,0.01971185337203875,18.0,60.0,32.0,0.7013397734460353,0.7222089552238806
diabetes,0.0132887289943482,11.0,16.0,40.0,0.7372320764952011,0.7833432835820896
diabetes,0.012238767965672305,15.0,1.0,52.0,0.754815481096316,0.7871641791044777
diabetes,0.01352491289775041,17.0,1.0,60.0,0.754815481096316,0.7833432835820896
diabetes,0.0,18.0,1.0,42.0,0.7305252230141542,0.7909850746268657
diabetes,0.017545061653385024,18.0,14.0,38.0,0.7550368903942591,0.7833432835820896
diabetes,0.01930731811158166,25.0,1.0,48.0,0.7472095659160808,0.7833432835820896
diabetes,0.009896588710826569,16.0,25.0,31.0,0.727206403360736,0.795223880597015
diabetes,0.00805859350081662,30.0,1.0,60.0,0.754815481096316,0.7867462686567164
diabetes,0.01603373959104402,14.0,1.0,46.0,0.7541039061437543,0.7833432835820896
diabetes,0.00864352409955366,26.0,1.0,56.0,0.7496763286611484,0.7871641791044777
diabetes,0.02366044896371489,18.0,1.0,60.0,0.7472095659160808,0.7314626865671643
diabetes,0.01151565465349626,14.0,1.0,60.0,0.754815481096316,0.7871641791044777
diabetes,0.01716635022108656,15.0,1.0,43.0,0.7541039061437543,0.7833432835820896
diabetes,0.012100380862295743,12.0,1.0,60.0,0.754815481096316,0.7871641791044777
diabetes,0.011283965953217111,20.0,1.0,60.0,0.754815481096316,0.7871641791044777
diabetes,0.008467396670436273,13.0,1.0,60.0,0.754815481096316,0.7867462686567164
diabetes,0.02143580181341463,17.0,24.0,41.0,0.7222253786928045,0.7833432835820896
diabetes,0.012284992303315971,30.0,15.0,51.0,0.7462607993126653,0.795223880597015
diabetes,0.0,1.0,60.0,25.0,0.6690817089299063,0.6593432835820895
diabetes,0.012190235153291146,14.0,1.0,53.0,0.754815481096316,0.7871641791044777
diabetes,0.01097095346109247,15.0,1.0,60.0,0.754815481096316,0.7871641791044777
diabetes,0.01846438887070547,7.0,19.0,30.0,0.7525068461184844,0.7833432835820896
diabetes,0.015339954882371071,10.0,1.0,35.0,0.7593221224625398,0.7833432835820896
diabetes,0.015331186640637002,9.0,1.0,34.0,0.7593221224625398,0.7833432835820896
diabetes,0.053730703107776605,3.0,59.0,27.0,0.6690817089299063,0.6593432835820895
diabetes,0.012505090125327231,7.0,1.0,30.0,0.7291855484455105,0.7949253731343283
diabetes,0.033828743086206106,30.0,1.0,60.0,0.6666703555539736,0.6132537313432836
diabetes,0.016682622895601254,30.0,26.0,30.0,0.7264948284081744,0.7833432835820896
diabetes,0.0028261717292271363,25.0,6.0,54.0,0.7486716583016394,0.791820895522388
diabetes,0.047025246082557176,1.0,60.0,60.0,0.6690817089299063,0.6593432835820895
diabetes,0.0,30.0,28.0,60.0,0.7693816420887895,0.7897313432835821
diabetes,0.003385008184454165,30.0,28.0,60.0,0.7693816420887895,0.7928358208955224
cancer,0.04101039588533139,22.0,56.0,20.0,0.7350669674613336,0.7318075117370892
